Time, RNA A, RNA R, A, R
0.8, 1, 0, 0, 0
1.6, 1, 0, 0, 0
2.4000000000000004, 0, 0, 0, 0
3.2, 1, 0, 0, 0
4.0, 1, 0, 0, 0
4.8, 1, 1, 0, 0
5.6, 1, 1, 0, 0
6.3999999999999995, 2, 1, 1, 0
7.199999999999999, 1, 1, 0, 0
7.999999999999999, 1, 1, 0, 0
8.799999999999999, 0, 2, 0, 0
9.6, 1, 3, 1, 0
10.4, 1, 2, 0, 0
11.200000000000001, 1, 2, 0, 0
12.000000000000002, 1, 1, 0, 0
12.800000000000002, 1, 1, 0, 0
13.600000000000003, 1, 1, 0, 0
14.400000000000004, 0, 1, 0, 0
15.200000000000005, 3, 1, 2, 0
16.000000000000004, 3, 1, 9, 0
16.800000000000004, 4, 1, 8, 0
17.600000000000005, 5, 1, 12, 0
18.400000000000006, 3, 0, 9, 0
19.200000000000006, 3, 0, 10, 0
20.000000000000007, 2, 0, 7, 0
20.800000000000008, 3, 0, 7, 0
21.60000000000001, 4, 0, 7, 0
22.40000000000001, 45, 0, 25, 0
23.20000000000001, 71, 2, 99, 0
24.00000000000001, 107, 2, 285, 0
24.80000000000001, 13, 2, 181, 0
25.600000000000012, 11, 2, 159, 0
26.400000000000013, 10, 2, 149, 0
27.200000000000014, 11, 3, 151, 0
28.000000000000014, 11, 2, 153, 0
28.800000000000015, 9, 2, 154, 0
29.600000000000016, 9, 1, 153, 0
30.400000000000016, 9, 2, 150, 0
31.200000000000017, 9, 2, 146, 0
32.000000000000014, 7, 2, 146, 0
32.80000000000001, 9, 3, 144, 0
33.60000000000001, 11, 2, 140, 0
34.400000000000006, 8, 4, 143, 0
35.2, 7, 4, 147, 0
36.0, 40, 5, 168, 0
36.8, 73, 5, 245, 0
37.599999999999994, 111, 5, 314, 0
38.39999999999999, 148, 5, 571, 0
39.19999999999999, 178, 7, 742, 2
39.999999999999986, 185, 7, 1042, 3
40.79999999999998, 224, 9, 1184, 3
