Time, RNA A, RNA R, A, R
0.0, 0, 0, 0, 0
1.6027854238875734, 14, 0, 5, 0
2.402406918334434, 36, 0, 23, 0
3.2011616296270535, 44, 0, 46, 0
4.000327032840502, 34, 0, 73, 0
4.800821109604835, 35, 0, 102, 0
5.60537208664977, 33, 3, 120, 0
6.402482664494321, 43, 5, 139, 0
7.200583344049601, 47, 5, 157, 0
8.014871068121089, 48, 7, 181, 1
8.81738540831056, 46, 9, 211, 1
9.614129913989515, 54, 12, 238, 2
10.413680537067274, 48, 11, 255, 5
11.20189492576946, 40, 12, 271, 5
12.006015463717546, 48, 13, 284, 6
12.802396994641347, 46, 15, 300, 9
13.604810623256041, 41, 16, 324, 9
14.404594285067647, 40, 18, 333, 11
15.204969506606776, 42, 20, 356, 11
16.000010490653427, 35, 21, 361, 14
16.802326816453178, 39, 23, 367, 16
17.60044511333813, 41, 25, 363, 16
18.406848967375556, 34, 27, 372, 17
19.201748178883232, 38, 28, 360, 18
20.003011612160535, 33, 30, 357, 18
20.801620325627347, 35, 32, 354, 19
21.600278876079916, 37, 32, 347, 20
22.40372013801252, 38, 36, 345, 22
23.20048091769897, 39, 36, 347, 27
24.002109782680307, 33, 37, 348, 32
24.80173416326165, 41, 37, 359, 34
25.600472529352952, 38, 37, 361, 38
26.402680977850103, 32, 38, 364, 39
27.203792910623065, 44, 39, 359, 42
28.000064916838486, 42, 40, 371, 45
28.805608708372407, 37, 41, 374, 46
29.60138308577963, 30, 42, 364, 48
30.402050333040314, 39, 43, 358, 56
31.20031293151675, 28, 43, 365, 58
32.00205177719052, 33, 39, 373, 58
32.81333336755311, 37, 40, 368, 61
33.600369716880586, 31, 41, 365, 61
34.41031763525804, 33, 41, 354, 63
35.21036780503593, 39, 43, 360, 67
36.00228414344323, 34, 44, 364, 70
36.80110249976406, 30, 43, 367, 73
37.600797243103294, 35, 44, 366, 75
38.40023924573278, 43, 42, 356, 78
39.21024908975029, 44, 44, 363, 78
40.000867405779736, 38, 47, 379, 81
40.809243691967325, 46, 47, 391, 82
41.60226254543873, 35, 50, 394, 86
42.401051690958916, 46, 51, 376, 91
43.204114230948335, 42, 52, 381, 94
44.00378398119535, 48, 56, 389, 98
44.805336660424025, 41, 56, 401, 99
45.60657851647493, 42, 57, 412, 104
46.40497908799251, 37, 58, 414, 108
47.20151196588612, 30, 60, 411, 111
48.00059394528208, 40, 61, 417, 115
48.80032464834844, 35, 61, 415, 118
49.604500951076545, 52, 61, 410, 120
50.40032486602907, 42, 62, 420, 124
51.20473461301783, 43, 65, 418, 127
52.005553800693605, 48, 66, 408, 131
52.80745731701604, 42, 68, 409, 139
53.60313028191199, 49, 67, 402, 139
54.400999496418066, 43, 66, 402, 144
55.20160182545477, 35, 68, 391, 150
56.00187963351449, 40, 68, 382, 153
56.80349110564665, 38, 68, 385, 157
57.60118661028245, 34, 69, 381, 161
58.40587023650844, 36, 68, 378, 166
59.20272090279115, 36, 66, 387, 167
60.00168936732053, 51, 67, 385, 172
60.800490433735774, 48, 69, 388, 174
61.60060028818839, 34, 70, 376, 182
62.40408325772356, 36, 71, 376, 189
63.200537706610454, 42, 72, 367, 192
64.0007402483955, 41, 72, 364, 196
64.8000697803875, 39, 70, 374, 198
65.60013570661292, 40, 71, 367, 203
66.40129734985662, 36, 71, 357, 210
67.20149648377262, 42, 71, 359, 215
68.00024823973968, 27, 70, 351, 217
68.8019545033404, 35, 71, 349, 215
69.60346012270821, 44, 71, 349, 229
70.40200642092383, 51, 71, 347, 234
71.205094562159, 43, 70, 361, 236
72.00077476677907, 53, 69, 364, 241
72.80104241189369, 48, 68, 369, 246
73.60070318314, 41, 67, 377, 254
74.40160505502634, 35, 70, 379, 255
75.20046477475495, 39, 70, 387, 264
76.00015871909498, 32, 71, 398, 268
76.80271607869211, 40, 72, 395, 271
77.60043292251346, 43, 72, 388, 277
78.40494320065592, 31, 70, 366, 277
79.20095411394946, 37, 71, 366, 278
80.00039428116689, 32, 71, 373, 284
80.80290273783585, 39, 70, 375, 284
81.60216429119244, 44, 68, 375, 287
82.40057748274147, 42, 68, 372, 290
83.20204310390821, 45, 66, 375, 291
84.00050148268187, 40, 68, 384, 293
84.8016869403035, 33, 66, 383, 293
85.60037253682684, 29, 67, 376, 298
86.40089124081646, 35, 66, 378, 299
87.20285946107293, 40, 64, 372, 299
88.00591512489073, 35, 64, 376, 308
88.81069136008368, 33, 66, 378, 316
89.60050791698141, 44, 68, 384, 317
90.40023092191615, 41, 68, 379, 319
91.20378373144823, 40, 68, 380, 324
92.0019485629297, 44, 71, 384, 326
92.80468316505858, 35, 71, 388, 329
93.60122837646857, 37, 75, 383, 332
94.40141612873644, 27, 75, 377, 335
95.201106471779, 37, 74, 363, 337
96.00085380129019, 40, 76, 363, 338
96.80150723433337, 39, 74, 363, 340
97.6007910615725, 47, 74, 370, 346
98.40099696870575, 33, 74, 373, 349
99.20078893978332, 37, 76, 359, 355
100.0110360486803, 32, 74, 367, 361
100.81458403471784, 30, 75, 370, 362
101.60495679195319, 31, 74, 366, 369
102.40994429832628, 21, 72, 347, 370
103.25503434064586, 10, 72, 325, 374
104.0188130252937, 5, 71, 310, 371
104.84450783841407, 6, 71, 302, 374
105.66309549487418, 4, 69, 288, 375
106.40065109621258, 0, 68, 264, 380
107.22147245264384, 0, 67, 245, 386
108.01386132994676, 3, 65, 224, 387
108.8203148623547, 4, 64, 213, 387
109.6162137042108, 7, 64, 203, 391
110.42025151967276, 2, 62, 197, 395
111.22612931886026, 3, 61, 186, 393
112.02133926219875, 6, 61, 171, 394
112.80617769173818, 3, 60, 163, 395
113.61825049172317, 3, 60, 152, 394
114.41707279701774, 2, 60, 145, 401
115.20398982916154, 3, 60, 134, 407
116.03813441396585, 4, 59, 130, 410
116.80476470539834, 3, 58, 122, 410
117.63935727128549, 4, 57, 112, 411
118.43356836001331, 3, 57, 102, 414
119.20893677342812, 3, 56, 97, 410
120.00307436829495, 5, 54, 91, 411
120.90343042048899, 3, 54, 84, 412
121.61609904596972, 4, 54, 80, 413
122.44542770935192, 5, 53, 80, 413
123.33302427337766, 3, 52, 72, 413
124.00865073860348, 2, 52, 67, 417
124.85842138657046, 3, 51, 62, 416
125.68773031481983, 5, 51, 63, 414
126.41182906537156, 5, 49, 58, 411
127.2141605146468, 2, 49, 54, 410
128.00593195754203, 5, 49, 52, 408
128.83753358841412, 3, 47, 51, 408
129.64217755795562, 1, 46, 46, 407
130.4295325704021, 4, 45, 49, 409
131.22169949677507, 5, 45, 45, 410
132.0316665856695, 4, 45, 46, 411
132.84740040476004, 4, 44, 43, 408
133.66301670608394, 5, 43, 43, 406
134.41084685760075, 2, 43, 43, 403
135.21351131198446, 4, 42, 44, 407
136.02508221722178, 7, 40, 47, 404
136.8163529318771, 5, 40, 47, 401
137.60896527525466, 5, 38, 48, 401
138.42393888163093, 5, 38, 50, 401
139.34063115371197, 2, 37, 48, 407
140.06726416650488, 3, 37, 47, 410
140.87849532250877, 4, 37, 47, 409
141.6678773423091, 7, 36, 46, 410
142.41440950743825, 4, 36, 47, 408
143.22520099936753, 3, 36, 46, 411
144.1630748638498, 6, 34, 45, 412
144.8760353835049, 5, 33, 40, 413
145.63059712700036, 4, 32, 41, 413
146.41155173697047, 3, 31, 39, 414
147.32389017805235, 2, 30, 38, 415
148.01504109558107, 3, 30, 36, 414
148.82443755968004, 4, 30, 35, 417
149.62779099345317, 2, 30, 34, 417
150.45312690615822, 5, 30, 39, 417
151.2311832817543, 3, 29, 37, 419
152.14186328837147, 5, 29, 37, 416
152.82876270866015, 5, 29, 40, 411
153.64537237368873, 4, 29, 39, 408
154.40458203274414, 4, 29, 38, 413
155.2128302632151, 4, 29, 35, 410
156.12400954153284, 6, 29, 34, 414
156.83595693967501, 2, 28, 36, 408
157.62860494751345, 1, 28, 36, 403
158.52200931788553, 4, 28, 35, 405
159.2609923628581, 5, 28, 33, 406
160.09572206633214, 4, 28, 35, 408
160.81032620756224, 3, 28, 34, 405
161.60955760193275, 1, 28, 36, 401
162.47392318503404, 3, 28, 36, 396
163.2090588481459, 5, 28, 34, 395
164.0017118766054, 5, 28, 35, 393
164.80342352738307, 3, 27, 37, 394
165.60486242411102, 3, 27, 38, 394
166.40483386637277, 4, 27, 41, 397
167.23189931735527, 6, 26, 43, 397
168.09161629798356, 5, 26, 50, 397
168.81986793433776, 8, 26, 49, 397
169.6024824896747, 10, 25, 52, 394
170.42326283394874, 7, 25, 58, 391
171.21418001034013, 6, 25, 54, 388
172.0684930217106, 3, 23, 57, 385
172.86589459391305, 4, 23, 54, 387
173.6240132472927, 2, 22, 50, 383
174.4051514205636, 2, 22, 48, 380
175.20383020334816, 4, 21, 47, 376
176.0204843441216, 2, 21, 49, 373
176.80201955847568, 4, 21, 47, 370
177.7418341891362, 2, 21, 49, 367
178.46936723353426, 1, 21, 50, 369
179.2820567528498, 3, 21, 47, 371
180.07138100262358, 2, 21, 51, 373
180.80686843275308, 1, 21, 43, 372
181.6233742406198, 4, 21, 40, 373
182.4290429231908, 5, 20, 39, 371
183.2615504081051, 4, 19, 38, 369
184.00100339533373, 8, 19, 34, 366
184.95161755561824, 2, 19, 38, 366
185.62278992487916, 1, 19, 39, 366
186.48578675201264, 2, 19, 40, 365
187.2546130937042, 1, 19, 40, 361
188.01134183535365, 0, 19, 37, 358
188.81647232259556, 3, 18, 35, 358
189.6072541934776, 2, 18, 34, 356
190.4617978192208, 2, 18, 36, 358
191.25682763493987, 2, 18, 38, 355
192.00205521050776, 4, 18, 39, 354
192.85124064389112, 4, 18, 39, 354
193.61471857355352, 5, 18, 41, 348
194.42449929213618, 6, 16, 45, 351
195.3123097119114, 6, 14, 48, 350
196.007906450848, 4, 14, 49, 347
196.8895003906589, 3, 14, 44, 347
197.65669159094568, 3, 14, 38, 347
198.41765128981302, 3, 14, 36, 346
199.24323485843, 5, 14, 36, 343
200.05221353474184, 1, 13, 35, 341
200.81989433545698, 5, 13, 39, 341
201.6427566124823, 6, 13, 38, 342
202.42316661759907, 6, 12, 41, 340
203.2862638764358, 4, 12, 45, 341
204.0689802652261, 6, 12, 45, 339
204.8120944985772, 7, 12, 45, 336
205.7244742630825, 8, 12, 50, 335
206.44726444781728, 5, 12, 54, 332
207.23280793759514, 9, 12, 53, 332
208.00401031181792, 7, 11, 55, 326
208.8223186533516, 5, 10, 58, 323
209.65488444133635, 4, 9, 56, 320
210.40471816068543, 8, 9, 50, 316
211.27261992221895, 5, 9, 53, 317
212.03390660513188, 6, 9, 54, 315
212.83400030411823, 3, 9, 56, 314
213.61764396868026, 4, 9, 54, 311
