Time,RNA A,RNA R,A,R
0.,12,0,4,0
0.805816534451,29,1,19,0
1.61328923779,31,2,45,0
2.41391921131,38,2,59,2
3.21852572679,38,3,86,2
4.0198463087,41,4,104,2
4.82512252718,39,5,139,2
5.62791450906,40,6,165,2
6.4309482637,40,9,185,1
7.23487393494,45,13,202,1
8.03520601762,41,14,238,1
8.8370388308,51,16,254,1
9.64224111861,38,19,277,3
10.443052534,29,18,274,5
11.2446483767,29,19,268,7
12.0460533473,29,21,268,12
12.8472510368,35,24,269,12
13.6474989544,36,27,279,14
14.4478359341,40,28,295,17
15.25255731,48,28,300,19
16.0531133149,46,29,309,20
16.8618288381,39,30,325,21
17.6629407088,39,32,328,27
18.4681530037,40,35,323,27
19.270146391,39,36,324,32
20.0711448914,42,38,331,35
20.8755457413,37,38,325,37
21.6849372065,47,39,340,40
22.48746627,44,41,346,40
23.2876279423,45,41,358,45
24.0911110677,40,41,357,49
24.8921811383,32,41,355,49
25.6983551803,35,43,355,50
26.4993789318,50,43,353,51
27.3040996898,51,44,350,54
28.1080923463,46,44,344,55
28.9085108139,38,46,339,57
29.7087903019,37,48,343,61
30.511990318,34,49,341,63
31.3263507889,36,49,344,69
32.1264267634,37,52,341,73
32.9268629805,41,52,372,84
33.727274045,42,54,380,90
34.5294655479,31,54,370,93
35.3297963578,34,56,361,99
36.131846664,38,56,360,102
36.9400574274,47,58,356,109
37.7422030489,39,59,367,114
38.5480127185,40,60,368,119
39.3545915147,40,61,378,124
40.1562659673,48,60,376,127
40.9576085763,41,62,380,130
41.7596301483,40,64,368,133
42.5606817572,34,63,379,139
43.361166884,31,64,385,140
44.1635350133,36,64,402,146
44.9670068005,40,64,409,155
45.7703624957,52,65,426,158
46.5738878942,37,64,438,163
47.3755318788,35,64,430,171
48.1765710108,40,62,414,173
48.977391945,46,61,415,175
49.7800071953,52,61,431,179
50.5800719958,44,61,439,181
51.3853051763,39,63,429,186
52.1894766282,42,63,430,188
52.9895094622,45,63,429,191
53.794799746,40,62,423,192
54.5961892252,33,62,412,196
55.4035639113,37,63,406,196
56.2144293421,43,65,424,202
57.0156156164,45,65,438,205
57.8228132784,47,66,440,207
58.6251739097,34,65,445,212
59.4259493907,38,65,438,216
60.2268805101,36,66,426,221
61.0305767818,37,67,426,226
61.8330741504,38,66,425,227
62.6339815322,39,65,422,231
63.4340121112,44,68,417,239
64.2406773907,51,64,417,238
65.0425568864,46,64,431,239
65.8427278207,41,63,432,243
66.6503215687,29,62,413,243
67.4522250914,36,64,415,248
68.2555054175,39,64,418,250
69.0615464821,25,66,410,254
69.8640674592,33,69,399,256
70.6693561503,33,68,409,256
71.4711201463,32,70,402,262
72.2756188785,41,72,400,270
73.0795871376,44,71,415,272
73.8919328453,41,71,416,280
74.6922276145,39,70,414,283
75.4933935173,40,70,411,286
76.2936450064,37,69,406,288
77.0961798732,31,71,395,294
77.8963230886,33,71,380,301
78.6981294479,32,71,374,303
79.4986012403,36,70,368,306
80.3047541824,39,68,354,307
