Time, KKK, KKKst, KK, KK_PP, KK_P, K, K_PP, K_P
5.0e-3, 93, 7, 90, 4, 6, 95, 0, 5
1.0e-2, 87, 13, 44, 23, 33, 35, 27, 38
1.5e-2, 75, 25, 12, 65, 23, 15, 71, 14
2.0e-2, 69, 31, 8, 80, 12, 10, 78, 12
2.5e-2, 68, 32, 4, 90, 6, 6, 85, 9
3.0000000000000002e-2, 68, 32, 4, 90, 6, 5, 87, 8
3.5e-2, 67, 33, 4, 92, 4, 5, 88, 7
4.0e-2, 64, 36, 4, 93, 3, 2, 91, 7
4.5e-2, 64, 36, 2, 92, 6, 1, 93, 6
4.9999999999999996e-2, 65, 35, 1, 92, 7, 1, 92, 7
5.499999999999999e-2, 63, 37, 0, 95, 5, 0, 97, 3
5.999999999999999e-2, 62, 38, 0, 97, 3, 0, 96, 4
6.499999999999999e-2, 59, 41, 0, 95, 5, 0, 95, 5
6.999999999999999e-2, 58, 42, 0, 93, 7, 0, 96, 4
7.5e-2, 57, 43, 1, 94, 5, 0, 98, 2
8.0e-2, 57, 43, 1, 93, 6, 0, 98, 2
8.5e-2, 55, 45, 1, 93, 6, 0, 97, 3
9.000000000000001e-2, 56, 44, 1, 92, 7, 0, 95, 5
9.500000000000001e-2, 56, 44, 1, 93, 6, 0, 97, 3
0.10000000000000002, 55, 45, 1, 92, 7, 0, 98, 2
0.10500000000000002, 57, 43, 1, 95, 4, 0, 97, 3
0.11000000000000003, 53, 47, 1, 96, 3, 0, 98, 2
0.11500000000000003, 53, 47, 1, 95, 4, 0, 99, 1
0.12000000000000004, 53, 47, 1, 95, 4, 0, 99, 1
0.12500000000000003, 54, 46, 1, 94, 5, 1, 95, 4
0.13000000000000003, 54, 46, 1, 94, 5, 0, 98, 2
0.13500000000000004, 55, 45, 1, 96, 3, 0, 98, 2
0.14000000000000004, 54, 46, 1, 96, 3, 0, 99, 1
0.14500000000000005, 56, 44, 1, 96, 3, 0, 98, 2
0.15000000000000005, 55, 45, 1, 97, 2, 0, 99, 1
0.15500000000000005, 53, 47, 0, 98, 2, 0, 99, 1
0.16000000000000006, 50, 50, 0, 98, 2, 0, 100, 0
0.16500000000000006, 50, 50, 0, 98, 2, 0, 100, 0
0.17000000000000007, 48, 52, 0, 98, 2, 0, 99, 1
0.17500000000000007, 49, 51, 0, 98, 2, 0, 99, 1
0.18000000000000008, 47, 53, 0, 98, 2, 0, 98, 2
0.18500000000000008, 48, 52, 0, 98, 2, 0, 99, 1
0.19000000000000009, 49, 51, 0, 98, 2, 1, 99, 0
0.1950000000000001, 48, 52, 0, 98, 2, 1, 99, 0
0.2000000000000001, 49, 51, 0, 98, 2, 1, 98, 1
0.2050000000000001, 49, 51, 0, 99, 1, 0, 98, 2
0.2100000000000001, 48, 52, 0, 98, 2, 0, 98, 2
0.2150000000000001, 49, 51, 0, 97, 3, 0, 97, 3
0.2200000000000001, 51, 49, 0, 98, 2, 0, 98, 2
0.22500000000000012, 51, 49, 0, 99, 1, 1, 96, 3
0.23000000000000012, 52, 48, 0, 97, 3, 0, 99, 1
0.23500000000000013, 52, 48, 1, 98, 1, 0, 100, 0
0.24000000000000013, 50, 50, 0, 98, 2, 0, 100, 0
0.24500000000000013, 51, 49, 0, 99, 1, 0, 99, 1
0.2500000000000001, 53, 47, 0, 97, 3, 0, 100, 0
0.2550000000000001, 52, 48, 0, 99, 1, 0, 100, 0
0.2600000000000001, 51, 49, 0, 99, 1, 0, 100, 0
0.2650000000000001, 50, 50, 0, 99, 1, 0, 99, 1
0.27000000000000013, 50, 50, 0, 98, 2, 0, 100, 0
0.27500000000000013, 52, 48, 0, 99, 1, 0, 100, 0
0.28000000000000014, 52, 48, 0, 99, 1, 0, 100, 0
0.28500000000000014, 54, 46, 0, 99, 1, 0, 99, 1
0.29000000000000015, 53, 47, 0, 99, 1, 0, 98, 2
0.29500000000000015, 53, 47, 0, 99, 1, 0, 99, 1
0.30000000000000016, 54, 46, 0, 99, 1, 0, 99, 1
0.30500000000000016, 55, 45, 0, 98, 2, 0, 99, 1
0.31000000000000016, 58, 42, 0, 97, 3, 0, 99, 1
0.31500000000000017, 61, 39, 0, 96, 4, 0, 99, 1
0.3200000000000002, 61, 39, 0, 95, 5, 0, 99, 1
0.3250000000000002, 61, 39, 0, 95, 5, 0, 98, 2
0.3300000000000002, 61, 39, 1, 95, 4, 0, 98, 2
0.3350000000000002, 61, 39, 0, 97, 3, 0, 97, 3
0.3400000000000002, 61, 39, 2, 96, 2, 0, 98, 2
0.3450000000000002, 55, 45, 1, 98, 1, 0, 99, 1
0.3500000000000002, 55, 45, 1, 97, 2, 0, 99, 1
0.3550000000000002, 55, 45, 1, 96, 3, 0, 98, 2
0.3600000000000002, 54, 46, 1, 97, 2, 1, 97, 2
0.3650000000000002, 54, 46, 0, 96, 4, 0, 99, 1
0.3700000000000002, 54, 46, 0, 97, 3, 0, 98, 2
0.3750000000000002, 53, 47, 0, 97, 3, 0, 98, 2
