Time,KKK(),KKKst(),KK(),KK_PP(),KK_P(),K(),K_PP(),K_P()
0.,100,0,100,0,0,100,0,0
0.00146397493035,99,0,100,0,0,100,0,0
0.306115850337,99,1,100,0,0,100,0,0
0.313268047134,98,1,100,0,0,100,0,0
0.313519527443,98,0,99,0,0,100,0,0
0.552339446124,98,1,99,0,0,100,0,0
0.553016413182,97,1,99,0,0,100,0,0
0.558852843501,97,0,98,0,0,100,0,0
0.621365663163,97,1,99,0,0,100,0,0
0.642614585923,97,0,98,0,0,100,0,0
0.753250702816,97,1,98,0,1,100,0,0
0.774845409656,97,0,97,0,1,100,0,0
0.86870891706,98,0,97,0,1,100,0,0
0.878375783876,97,0,97,0,1,100,0,0
0.966016757293,97,1,97,0,2,100,0,0
0.966184436635,97,0,96,0,2,100,0,0
1.0943867898,97,1,96,0,2,100,0,0
1.09683703339,97,0,95,0,2,100,0,0
1.1206582664,96,0,95,0,2,100,0,0
1.20679000289,96,1,95,0,3,100,0,0
1.21423652242,96,0,94,0,3,100,0,0
1.26242984419,96,1,94,0,4,100,0,0
1.29171917187,96,0,93,0,4,100,0,0
1.31469582364,96,1,93,0,5,100,0,0
1.31896175169,96,0,92,0,5,100,0,0
1.32744485739,96,0,92,0,4,100,0,0
1.38454840526,96,1,92,0,5,100,0,0
1.38757617897,96,0,91,0,5,100,0,0
1.40568071851,96,0,91,0,6,100,0,0
1.43977404447,96,1,92,0,6,100,0,0
1.44689441887,96,0,91,0,6,100,0,0
1.52409040183,96,1,91,0,7,100,0,0
1.52473645665,96,1,91,0,6,100,0,0
1.52937577581,96,0,90,0,6,100,0,0
1.64833063308,96,1,90,0,7,100,0,0
1.66180580424,96,0,89,0,7,100,0,0
1.92699574303,96,1,89,0,7,100,0,0
1.92748160081,95,1,89,0,7,100,0,0
1.93343685727,95,0,88,0,7,100,0,0
1.93574193714,95,1,88,0,8,100,0,0
1.93761968108,95,0,88,0,8,100,0,0
1.97301126988,95,1,88,0,9,100,0,0
1.98170096654,95,2,88,0,10,100,0,0
1.98226323516,95,1,87,0,10,100,0,0
1.98918324324,95,0,86,0,10,100,0,0
2.08050798808,95,1,86,0,11,100,0,0
2.10535175251,95,1,86,0,12,100,0,0
2.11369623463,95,0,85,0,12,100,0,0
2.18989176556,95,0,85,0,11,100,0,0
2.30963111851,95,0,86,0,11,100,0,0
2.33631947906,95,1,86,0,12,100,0,0
2.34366150468,95,0,85,0,12,100,0,0
2.35362546171,95,0,85,0,11,100,0,0
2.39384606327,95,1,85,0,12,100,0,0
2.39719812432,95,0,84,0,12,100,0,0
2.48538834745,95,1,84,0,12,100,0,0
2.48818509871,95,0,84,0,11,100,0,0
2.73695926671,95,1,84,0,12,100,0,0
2.74611308835,95,0,83,0,12,100,0,0
2.77219894124,95,1,84,0,12,100,0,0
2.77855190433,95,0,83,0,12,100,0,0
2.78756562018,95,1,83,0,13,100,0,0
2.79018407924,95,0,82,0,13,100,0,0
3.13877522041,95,1,83,0,13,100,0,0
3.13930847235,95,0,82,0,13,100,0,0
3.27817266381,95,1,82,0,14,100,0,0
3.27910211925,95,0,81,0,14,100,0,0
3.38904414309,95,1,81,0,15,100,0,0
3.40117342479,95,0,80,0,15,100,0,0
3.41656528368,95,1,80,0,15,100,0,0
3.41792274013,95,0,80,0,14,100,0,0
3.42087474311,94,0,80,0,14,100,0,0
3.47264322032,94,1,80,0,15,100,0,0
3.47938062527,94,0,80,0,14,100,0,0
3.48580180459,94,0,81,0,14,100,0,0
3.52874141392,94,1,81,1,14,100,0,0
3.53677264944,94,0,81,1,13,100,0,0
3.54532849301,94,0,81,0,13,99,0,0
3.54689347298,94,1,81,1,13,99,0,0
3.55047215659,94,0,81,1,12,99,0,0
3.55478857209,94,0,81,0,12,98,0,0
3.60203883474,94,1,81,0,13,98,0,0
3.60575243532,94,0,80,0,13,98,0,0
3.62304303135,94,1,80,0,14,98,0,0
3.62560575433,94,0,79,0,14,98,0,0
3.70948770913,94,0,79,1,14,98,0,1
3.71425522496,94,0,79,0,14,97,0,1
3.73080068399,94,1,79,0,14,97,0,1
3.74099056011,93,1,79,0,14,97,0,1
3.75340214473,93,0,78,0,14,97,0,1
3.76909266824,93,1,78,0,15,97,0,1
3.77185776968,93,0,77,0,15,97,0,1
3.78657819514,93,1,77,0,16,97,0,1
3.78895387004,93,0,76,0,16,97,0,1
3.80472513909,93,0,76,1,16,97,0,2
3.8141978555,93,0,76,0,16,96,0,2
3.84680403353,93,1,76,0,17,96,0,2
3.84690993736,93,0,76,0,16,96,0,2
3.85565161236,93,1,76,0,17,96,0,2
3.8645878772,93,0,75,0,17,96,0,2
3.87343812182,93,1,75,0,18,96,0,2
3.87705079283,93,0,74,0,18,96,0,2
3.88071032229,93,1,74,0,19,96,0,2
3.88792515808,93,0,73,0,19,96,0,2
3.95740899624,93,1,73,0,20,96,0,2
3.96127751955,93,0,72,0,20,96,0,2
3.96409516905,93,0,72,0,19,96,0,2
3.96901085458,93,1,72,0,20,96,0,2
3.97265750769,93,0,71,0,20,96,0,2
3.97389478602,93,1,71,0,21,96,0,2
3.97695106153,93,0,70,0,21,96,0,2
4.00299548159,93,0,70,1,21,97,0,2
4.00762322722,93,0,70,0,21,96,0,2
4.00824654893,93,1,70,0,22,96,0,2
4.01641331623,93,0,69,0,22,96,0,2
4.04674447378,93,0,69,1,22,96,0,3
4.04981740415,93,0,70,1,22,96,0,3
4.05378027816,93,0,70,0,22,95,0,3
4.06479684123,93,1,70,0,23,95,0,3
4.07145213174,93,0,70,0,22,95,0,3
4.07444168656,93,1,70,0,23,95,0,3
4.07995812216,93,0,69,0,23,95,0,3
4.09485662993,93,0,69,0,22,95,0,3
4.10474995534,93,0,69,1,22,95,0,4
4.12512725844,93,1,69,2,22,95,0,4
4.12650967001,93,0,69,2,21,95,0,4
4.12743265977,93,0,69,1,21,95,0,3
4.13145903884,93,0,69,0,21,94,0,3
4.15969648107,93,1,69,0,22,94,0,3
4.16632465491,93,0,68,0,22,94,0,3
4.17089241646,93,0,68,1,22,94,1,3
4.17094266371,93,0,68,0,22,93,1,3
4.20706423959,93,1,68,1,22,93,1,3
4.21401986854,93,1,68,0,22,92,1,3
4.21582045303,93,1,69,0,22,92,1,3
4.22198894067,93,1,69,1,22,92,1,4
4.22790231323,93,1,69,0,22,91,1,4
4.23688223524,93,0,68,0,22,91,1,4
4.23962821505,93,1,68,0,23,91,1,4
4.24212117931,93,0,67,0,23,91,1,4
4.25767693137,93,0,67,0,23,91,1,3
