Time,!x,!y,!z,Protein(),Gate(),Gate2(),Gate3()
0.,8,1,0,9,1,0,2
114.738179968,16,1,0,17,1,0,2
219.582783177,22,1,0,23,1,0,2
340.366596782,27,1,0,28,1,0,2
447.108929927,35,1,0,36,1,0,2
558.335165393,43,1,0,44,1,0,2
663.4929493,58,1,0,59,1,0,2
770.569228506,62,0,0,62,1,0,2
879.331193682,72,0,0,72,1,0,2
982.1531602,72,0,0,72,1,0,2
1087.72269543,72,0,0,72,1,0,2
1196.92195582,69,0,0,69,1,0,2
1309.15776598,70,0,0,70,1,0,2
1414.37387655,78,0,0,78,1,0,2
1520.53236347,81,0,0,81,1,0,2
1623.11048247,85,0,0,85,1,0,2
1723.67103504,79,0,0,79,1,0,2
1827.50829558,89,0,0,89,1,0,2
1931.62283885,96,0,0,96,1,0,2
2031.9615136,85,0,0,85,1,0,2
2136.88332666,85,0,0,85,1,0,2
2255.24012922,92,0,0,92,1,0,2
2365.09304656,95,0,0,95,1,0,2
2466.65158887,86,0,0,86,1,0,2
2571.56174987,89,0,0,89,1,0,2
2674.69298117,88,0,0,88,1,0,2
2775.59488548,89,0,0,89,1,0,2
2877.32726404,97,0,0,97,1,0,2
2983.66220347,91,0,0,91,1,0,2
3087.31928082,96,0,0,96,1,0,2
3187.89247348,101,0,0,101,1,0,2
3288.51134128,103,0,0,103,1,0,2
3391.35395715,98,0,0,98,1,0,2
3495.91850972,93,0,0,93,1,0,2
3598.14370548,94,0,0,94,1,0,2
3698.61220438,95,0,0,95,1,0,2
3799.98659737,93,0,0,93,1,0,2
3902.2917217,90,0,0,90,1,0,2
4027.98599267,88,0,0,88,1,0,2
4132.82375286,88,0,0,88,1,0,2
4234.91802054,91,0,0,91,1,0,2
4335.42828979,87,0,0,87,1,0,2
4439.08934424,91,0,0,91,1,0,2
4540.05847038,94,0,0,94,1,0,2
4642.12099947,92,0,0,92,1,0,2
4742.12889895,97,0,0,97,1,0,2
4846.47761303,109,0,0,109,1,0,2
4958.14743738,112,0,0,112,1,0,2
5062.12966545,114,0,0,114,1,0,2
5169.51890385,114,0,0,114,1,0,2
5269.66283529,105,0,0,105,1,0,2
5372.86597766,106,0,0,106,1,0,2
5473.0846759,98,0,0,98,1,0,2
5585.60450234,88,0,0,88,1,0,2
5691.74076283,88,0,0,88,1,0,2
5792.1868742,97,0,0,97,1,0,2
5897.61436028,94,0,0,94,1,0,2
6005.19613922,89,0,0,89,1,0,2
6105.43793998,93,0,0,93,1,0,2
6212.04184488,92,0,0,92,1,0,2
6312.92270647,94,0,0,94,1,0,2
6421.53608908,93,0,0,93,1,0,2
6524.22623614,85,0,0,85,1,0,2
6626.81730565,85,0,0,85,1,0,2
6730.41999922,89,0,0,89,1,0,2
6837.20192765,94,0,0,94,1,0,2
6947.7666444,93,0,0,93,1,0,2
7052.81352382,102,0,0,102,1,0,2
