Time, !x, !y, !z
100.0, 0, 928, 2
200.0, 10, 1881, 2
300.0, 20, 1865, 2
400.0, 17, 1832, 1
500.0, 30, 1786, 1
600.0, 35, 1711, 1
700.0, 37, 1633, 1
800.0, 48, 1570, 1
900.0, 50, 1454, 1
1000.0, 54, 1334, 1
1100.0, 59, 1237, 1
1200.0, 75, 1133, 1
1300.0, 99, 1049, 1
1400.0, 108, 974, 0
1500.0, 146, 912, 0
1600.0, 217, 845, 0
1700.0, 290, 791, 0
1800.0, 341, 741, 0
1900.0, 400, 685, 0
2000.0, 470, 630, 0
2100.0, 543, 584, 0
2200.0, 597, 548, 0
2300.0, 662, 504, 0
2400.0, 717, 470, 0
2500.0, 780, 445, 0
2600.0, 843, 414, 0
2700.0, 882, 388, 0
2800.0, 947, 350, 0
2900.0, 1004, 316, 0
3000.0, 1116, 292, 0
3100.0, 1177, 263, 0
3200.0, 1263, 229, 0
3300.0, 1332, 210, 0
3400.0, 1404, 191, 0
3500.0, 1494, 178, 0
3600.0, 1589, 161, 0
3700.0, 1688, 148, 0
3800.0, 1781, 134, 0
3900.0, 1863, 113, 0
4000.0, 1950, 94, 0
4100.0, 2054, 83, 0
4200.0, 2120, 79, 0
4300.0, 2200, 68, 0
4400.0, 2276, 57, 0
4500.0, 2347, 52, 0
4600.0, 2386, 48, 0
4700.0, 2398, 44, 0
4800.0, 2413, 39, 0
4900.0, 2451, 37, 0
5000.0, 2555, 35, 0
5100.0, 2608, 32, 0
5200.0, 2678, 28, 0
5300.0, 2718, 26, 0
5400.0, 2808, 22, 0
5500.0, 2886, 20, 0
5600.0, 2950, 20, 0
5700.0, 3017, 18, 8
5800.0, 3126, 17, 15
5900.0, 3159, 16, 14
6000.0, 3180, 14, 13
6100.0, 3151, 12, 20
6200.0, 3087, 9, 33
6300.0, 3067, 7, 41
6400.0, 2897, 7, 41
6500.0, 2816, 7, 54
6600.0, 2578, 7, 64
6700.0, 2357, 7, 96
6800.0, 2154, 7, 127
6900.0, 1968, 7, 152
7000.0, 1818, 7, 189
7100.0, 1632, 7, 207
7200.0, 1494, 7, 224
7300.0, 1357, 6, 239
7400.0, 1241, 4, 244
7500.0, 1133, 4, 262
7600.0, 1025, 4, 306
7700.0, 915, 2, 310
7800.0, 838, 2, 304
7900.0, 760, 0, 310
8000.0, 691, 0, 348
8100.0, 624, 0, 373
8200.0, 565, 0, 411
8300.0, 509, 0, 446
8400.0, 461, 0, 488
8500.0, 423, 0, 560
8600.0, 391, 0, 628
8700.0, 355, 0, 658
8800.0, 324, 0, 715
8900.0, 294, 0, 777
9000.0, 269, 0, 799
9100.0, 242, 0, 841
9200.0, 224, 0, 906
9300.0, 205, 0, 959
9400.0, 185, 0, 1019
9500.0, 156, 0, 1056
9600.0, 146, 0, 1079
9700.0, 128, 0, 1167
9800.0, 115, 0, 1246
9900.0, 106, 3, 1315
10000.0, 93, 13, 1411
10100.0, 81, 12, 1468
10200.0, 73, 12, 1481
10300.0, 69, 12, 1460
10400.0, 63, 10, 1438
10500.0, 56, 8, 1416
10600.0, 52, 6, 1368
10700.0, 48, 5, 1340
10800.0, 45, 5, 1338
10900.0, 40, 24, 1327
11000.0, 37, 34, 1289
11100.0, 36, 34, 1170
11200.0, 31, 45, 1066
11300.0, 28, 65, 970
11400.0, 23, 71, 861
11500.0, 23, 90, 787
11600.0, 21, 100, 718
11700.0, 19, 103, 649
11800.0, 19, 114, 593
11900.0, 16, 114, 541
12000.0, 13, 115, 499
12100.0, 12, 109, 458
12200.0, 10, 108, 420
12300.0, 10, 103, 397
12400.0, 9, 102, 376
12500.0, 8, 97, 348
12600.0, 7, 95, 330
12700.0, 7, 91, 295
12800.0, 7, 97, 266
12900.0, 7, 113, 234
13000.0, 7, 128, 213
13100.0, 6, 145, 196
13200.0, 6, 168, 178
13300.0, 5, 174, 166
13400.0, 11, 184, 143
13500.0, 27, 193, 125
13600.0, 42, 186, 113
13700.0, 57, 174, 102
13800.0, 69, 172, 97
13900.0, 69, 166, 95
14000.0, 70, 172, 96
14100.0, 76, 180, 92
14200.0, 82, 201, 98
14300.0, 76, 214, 87
14400.0, 66, 206, 78
14500.0, 59, 184, 69
14600.0, 54, 155, 59
14700.0, 49, 146, 54
14800.0, 43, 146, 43
14900.0, 39, 140, 39
15000.0, 46, 132, 35
15100.0, 54, 117, 34
15200.0, 74, 95, 29
15300.0, 67, 86, 26
15400.0, 58, 80, 23
15500.0, 53, 71, 22
15600.0, 47, 67, 19
15700.0, 45, 60, 17
15800.0, 44, 60, 16
15900.0, 43, 54, 13
16000.0, 41, 48, 12
16100.0, 37, 44, 10
16200.0, 32, 41, 10
16300.0, 28, 38, 9
16400.0, 26, 33, 9
16500.0, 23, 28, 9
16600.0, 20, 27, 9
16700.0, 19, 26, 9
16800.0, 24, 24, 8
16900.0, 43, 21, 4
17000.0, 84, 20, 4
17100.0, 120, 18, 4
17200.0, 156, 15, 4
17300.0, 172, 14, 4
17400.0, 183, 14, 4
17500.0, 186, 10, 4
17600.0, 185, 10, 4
17700.0, 202, 7, 3
17800.0, 216, 7, 7
17900.0, 223, 5, 6
18000.0, 245, 3, 6
18100.0, 271, 3, 6
18200.0, 282, 3, 19
18300.0, 288, 3, 42
18400.0, 294, 2, 70
18500.0, 261, 2, 92
18600.0, 244, 2, 119
18700.0, 219, 2, 129
18800.0, 202, 2, 144
18900.0, 183, 2, 160
19000.0, 167, 2, 158
19100.0, 151, 2, 149
19200.0, 143, 2, 145
19300.0, 130, 0, 139
19400.0, 119, 0, 151
19500.0, 109, 0, 179
19600.0, 98, 0, 210
19700.0, 87, 0, 243
19800.0, 78, 0, 274
19900.0, 70, 0, 321
20000.0, 61, 0, 368
20100.0, 51, 0, 407
20200.0, 44, 0, 458
20300.0, 41, 0, 485
20400.0, 39, 0, 510
20500.0, 35, 0, 550
20600.0, 29, 0, 607
20700.0, 26, 7, 677
20800.0, 24, 17, 719
20900.0, 20, 26, 786
21000.0, 18, 37, 736
21100.0, 16, 49, 713
21200.0, 14, 63, 665
21300.0, 13, 87, 632
21400.0, 10, 102, 578
21500.0, 8, 121, 511
21600.0, 8, 136, 458
21700.0, 7, 155, 411
21800.0, 7, 174, 374
21900.0, 4, 194, 340
22000.0, 4, 214, 309
22100.0, 4, 234, 281
22200.0, 3, 241, 249
