Time, !a1, !b1, !c1
100.0, 1, 1, 8
200.0, 1, 3, 6
300.0, 1, 4, 4
400.0, 1, 8, 3
500.0, 1, 14, 2
600.0, 1, 15, 2
700.0, 1, 23, 1
800.0, 1, 35, 1
900.0, 1, 47, 1
1000.0, 1, 49, 1
1100.0, 1, 57, 1
1200.0, 1, 57, 1
1300.0, 1, 57, 1
1400.0, 1, 52, 1
1500.0, 1, 50, 1
1600.0, 1, 45, 1
1700.0, 1, 42, 0
1800.0, 1, 38, 0
1900.0, 1, 37, 0
2000.0, 1, 36, 0
2100.0, 1, 31, 0
2200.0, 1, 28, 0
2300.0, 1, 25, 0
2400.0, 1, 23, 0
2500.0, 1, 23, 0
2600.0, 1, 34, 0
2700.0, 1, 47, 0
2800.0, 1, 47, 0
2900.0, 1, 57, 0
3000.0, 1, 57, 0
3100.0, 1, 61, 0
3200.0, 1, 63, 0
3300.0, 1, 64, 0
3400.0, 1, 64, 0
3500.0, 0, 63, 0
3600.0, 1, 62, 0
3700.0, 1, 63, 0
3800.0, 1, 66, 0
3900.0, 0, 65, 0
4000.0, 1, 64, 0
4100.0, 1, 58, 0
4200.0, 1, 58, 0
4300.0, 1, 60, 0
4400.0, 2, 64, 1
4500.0, 6, 63, 1
4600.0, 17, 60, 0
4700.0, 15, 62, 0
4800.0, 13, 65, 0
4900.0, 13, 60, 0
5000.0, 9, 50, 0
5100.0, 8, 46, 0
5200.0, 8, 42, 0
5300.0, 6, 38, 0
5400.0, 5, 36, 0
5500.0, 3, 34, 0
5600.0, 2, 31, 0
5700.0, 4, 26, 1
5800.0, 13, 24, 1
5900.0, 20, 18, 1
6000.0, 34, 17, 1
6100.0, 33, 15, 1
6200.0, 34, 13, 1
6300.0, 33, 12, 1
6400.0, 37, 10, 0
6500.0, 38, 9, 1
6600.0, 44, 8, 1
6700.0, 51, 8, 1
6800.0, 53, 6, 1
6900.0, 59, 4, 1
7000.0, 67, 2, 1
7100.0, 68, 2, 1
7200.0, 73, 2, 1
7300.0, 68, 1, 1
7400.0, 67, 1, 1
7500.0, 75, 1, 1
7600.0, 73, 1, 1
7700.0, 75, 1, 1
7800.0, 83, 1, 1
7900.0, 78, 1, 1
8000.0, 70, 1, 1
8100.0, 66, 1, 1
8200.0, 56, 0, 1
8300.0, 53, 0, 1
8400.0, 46, 0, 1
8500.0, 42, 0, 1
8600.0, 41, 0, 1
8700.0, 38, 1, 1
8800.0, 31, 1, 3
8900.0, 28, 1, 15
9000.0, 25, 1, 21
9100.0, 24, 1, 18
9200.0, 21, 1, 26
9300.0, 19, 1, 33
9400.0, 19, 1, 45
9500.0, 17, 1, 53
9600.0, 16, 1, 63
9700.0, 14, 1, 64
9800.0, 12, 1, 61
9900.0, 12, 1, 68
10000.0, 11, 1, 73
10100.0, 11, 0, 75
10200.0, 10, 0, 79
10300.0, 8, 0, 88
10400.0, 8, 0, 96
10500.0, 6, 0, 97
10600.0, 6, 0, 98
10700.0, 5, 0, 96
10800.0, 4, 0, 107
10900.0, 4, 0, 102
11000.0, 3, 0, 102
11100.0, 2, 0, 103
11200.0, 1, 0, 112
11300.0, 1, 0, 107
11400.0, 1, 0, 106
11500.0, 1, 0, 105
11600.0, 1, 0, 94
11700.0, 1, 0, 87
11800.0, 1, 0, 82
11900.0, 1, 0, 75
12000.0, 1, 0, 69
12100.0, 1, 0, 60
12200.0, 1, 0, 55
12300.0, 1, 0, 59
12400.0, 1, 0, 65
12500.0, 1, 0, 64
12600.0, 1, 0, 62
12700.0, 1, 0, 60
12800.0, 1, 0, 65
12900.0, 0, 0, 68
13000.0, 0, 0, 71
13100.0, 1, 1, 67
13200.0, 0, 8, 59
13300.0, 0, 9, 56
13400.0, 0, 17, 51
13500.0, 0, 22, 48
13600.0, 0, 32, 41
13700.0, 0, 43, 36
13800.0, 0, 48, 35
13900.0, 0, 56, 30
14000.0, 0, 57, 28
14100.0, 0, 63, 26
14200.0, 0, 65, 26
14300.0, 0, 62, 23
14400.0, 0, 54, 23
14500.0, 0, 63, 21
14600.0, 0, 68, 19
14700.0, 0, 70, 18
14800.0, 0, 75, 17
14900.0, 0, 74, 14
15000.0, 0, 81, 11
15100.0, 0, 87, 8
15200.0, 0, 85, 6
15300.0, 0, 85, 5
15400.0, 0, 88, 4
15500.0, 0, 85, 3
15600.0, 0, 90, 2
15700.0, 0, 85, 2
15800.0, 0, 74, 2
15900.0, 0, 64, 2
16000.0, 0, 55, 2
16100.0, 0, 50, 3
16200.0, 3, 57, 3
16300.0, 10, 63, 3
16400.0, 12, 66, 1
16500.0, 17, 66, 0
16600.0, 18, 71, 0
16700.0, 24, 70, 0
16800.0, 26, 73, 1
16900.0, 29, 81, 1
17000.0, 27, 79, 1
17100.0, 31, 79, 1
17200.0, 36, 86, 1
17300.0, 27, 82, 0
17400.0, 24, 85, 0
17500.0, 23, 81, 0
17600.0, 21, 82, 0
17700.0, 20, 83, 0
17800.0, 17, 80, 0
17900.0, 15, 84, 3
18000.0, 16, 88, 5
18100.0, 21, 91, 6
18200.0, 27, 91, 13
18300.0, 37, 93, 13
18400.0, 43, 99, 13
18500.0, 52, 95, 14
18600.0, 57, 100, 13
18700.0, 57, 97, 12
18800.0, 58, 96, 11
18900.0, 55, 98, 11
19000.0, 48, 182, 7
19100.0, 43, 182, 6
19200.0, 38, 166, 5
19300.0, 35, 166, 5
19400.0, 33, 164, 4
19500.0, 38, 157, 3
19600.0, 37, 158, 2
19700.0, 37, 147, 2
19800.0, 34, 143, 2
19900.0, 30, 141, 2
20000.0, 27, 141, 2
20100.0, 24, 140, 2
20200.0, 22, 136, 2
20300.0, 20, 136, 2
20400.0, 19, 132, 2
20500.0, 16, 135, 2
20600.0, 15, 136, 2
20700.0, 21, 135, 2
20800.0, 33, 130, 2
20900.0, 43, 129, 2
21000.0, 47, 125, 1
21100.0, 52, 116, 1
21200.0, 57, 114, 1
21300.0, 63, 109, 0
21400.0, 67, 102, 0
21500.0, 71, 95, 0
21600.0, 70, 88, 0
21700.0, 69, 84, 0
21800.0, 72, 78, 0
21900.0, 76, 69, 0
22000.0, 77, 66, 0
22100.0, 83, 59, 0
22200.0, 77, 51, 0
22300.0, 72, 46, 0
22400.0, 72, 43, 0
22500.0, 69, 37, 0
22600.0, 68, 34, 0
22700.0, 80, 31, 0
22800.0, 82, 26, 0
22900.0, 76, 23, 0
23000.0, 80, 23, 0
23100.0, 81, 21, 0
23200.0, 86, 17, 0
23300.0, 86, 16, 0
23400.0, 89, 14, 0
23500.0, 88, 13, 0
23600.0, 92, 12, 0
23700.0, 87, 11, 0
23800.0, 85, 11, 0
23900.0, 87, 10, 0
24000.0, 87, 9, 0
24100.0, 92, 9, 0
24200.0, 93, 8, 0
24300.0, 90, 8, 0
24400.0, 84, 6, 0
24500.0, 86, 5, 0
24600.0, 84, 5, 0
24700.0, 85, 3, 0
24800.0, 84, 2, 0
24900.0, 72, 2, 0
25000.0, 63, 2, 0
25100.0, 63, 1, 0
25200.0, 59, 1, 0
25300.0, 52, 1, 0
25400.0, 45, 1, 0
25500.0, 50, 1, 0
25600.0, 51, 1, 0
25700.0, 66, 1, 0
25800.0, 65, 1, 0
25900.0, 70, 1, 0
26000.0, 76, 1, 0
26100.0, 77, 1, 0
26200.0, 77, 1, 0
26300.0, 79, 1, 0
26400.0, 84, 1, 0
26500.0, 85, 1, 0
26600.0, 95, 1, 0
26700.0, 88, 1, 0
26800.0, 88, 1, 0
26900.0, 90, 1, 0
27000.0, 88, 1, 0
27100.0, 87, 1, 0
27200.0, 91, 0, 0
27300.0, 98, 0, 0
27400.0, 96, 0, 0
27500.0, 95, 0, 0
27600.0, 79, 0, 0
27700.0, 72, 0, 0
27800.0, 76, 0, 0
27900.0, 72, 0, 0
28000.0, 64, 0, 0
28100.0, 58, 0, 0
28200.0, 65, 0, 0
28300.0, 70, 0, 0
28400.0, 68, 0, 0
28500.0, 72, 0, 0
28600.0, 74, 0, 0
28700.0, 80, 0, 0
28800.0, 80, 0, 0
28900.0, 88, 0, 0
29000.0, 85, 0, 0
29100.0, 87, 0, 0
29200.0, 83, 0, 0
29300.0, 82, 0, 0
29400.0, 86, 0, 0
29500.0, 97, 0, 0
29600.0, 104, 0, 0
29700.0, 100, 0, 0
29800.0, 103, 0, 0
29900.0, 103, 0, 0
30000.0, 104, 0, 0
30100.0, 101, 0, 0
30200.0, 100, 0, 0
30300.0, 104, 0, 0
30400.0, 100, 0, 0
30500.0, 94, 0, 0
30600.0, 97, 0, 0
