Time,!x,!y,!z,Protein(),Gate(),Gate2(),Gate3()
0.,3,6,8,17,0,0,300
134.137734965,3,6,6,15,0,0,300
242.593185168,2,5,6,13,0,0,300
348.490380178,2,3,5,10,0,0,300
458.532711917,2,1,3,6,0,0,300
590.02122435,1,1,3,5,0,0,300
778.073368415,1,1,2,4,0,0,300
881.254086106,1,1,1,3,0,0,300
1004.46342205,2,1,1,4,0,0,300
1173.39495913,2,1,1,4,0,0,300
1275.0013644,19,1,0,20,2,0,298
1378.55325995,43,1,0,44,2,0,298
1479.48280362,54,1,0,55,3,0,297
1579.83980628,91,1,0,92,4,0,296
1681.23099658,126,1,0,127,5,0,295
1782.83259396,174,1,0,175,5,0,295
1883.85449004,212,1,0,213,5,0,295
1984.18529439,233,1,0,234,5,0,295
2086.57965054,263,1,0,264,7,0,293
2187.23878227,283,1,0,284,7,0,293
2289.13484156,332,1,0,333,8,0,292
2389.46605618,380,1,0,381,8,0,292
2489.61456749,428,1,0,429,8,0,292
2590.73335179,481,1,0,482,10,0,290
2691.61567454,549,1,0,550,11,0,289
2793.55131669,593,1,0,594,11,0,289
2894.28819044,632,1,0,633,12,0,288
2994.31417379,607,1,1,609,0,0,300
3095.15616705,532,1,1,534,0,0,300
3197.47344703,486,1,1,488,0,0,300
3299.82648206,447,0,1,448,0,0,300
3402.23931446,396,0,1,397,0,0,300
3507.75977196,359,0,16,375,3,0,297
3610.24136441,325,0,51,376,6,0,294
3711.71226677,303,0,97,400,6,0,294
3812.1664917,271,0,133,404,6,0,294
3913.01021332,249,0,188,437,7,0,293
4015.34806048,221,0,246,467,7,0,293
4115.71578792,200,0,289,489,7,0,293
4215.81009146,185,0,334,519,7,0,293
4316.61929868,167,0,379,546,10,0,290
4417.4676756,147,0,446,593,10,0,290
4517.4889598,135,0,508,643,10,0,290
4617.88245061,118,0,561,679,10,0,290
4717.9231241,110,0,590,700,10,0,290
4818.12447583,103,0,626,729,10,0,290
4918.29793318,96,0,669,765,11,0,289
5018.40269928,88,0,725,813,14,0,286
5120.30118181,79,0,840,919,14,0,286
5220.42363878,71,0,898,969,15,0,285
5320.81121918,64,0,988,1052,16,0,284
5421.65298533,59,0,1025,1084,16,0,284
5521.81999618,54,0,1051,1105,16,0,284
5621.86037209,47,0,1092,1139,16,0,284
5721.95639669,44,0,1154,1198,18,0,282
5822.08795503,34,0,1215,1249,18,0,282
5922.16561961,32,0,1277,1309,18,0,282
6022.41035922,30,0,1335,1365,18,0,282
6122.81275909,28,0,1374,1402,18,0,282
6223.91702391,27,0,1408,1435,18,0,282
6324.65546552,22,0,1461,1483,18,0,282
6424.94678025,18,0,1513,1531,19,0,281
6524.97425658,17,0,1549,1566,21,0,279
6625.10134374,17,0,1601,1618,21,0,279
6725.376644,16,0,1681,1697,21,0,279
6825.49726633,14,0,1720,1734,21,0,279
6925.55585114,13,0,1740,1753,21,0,279
7025.58283202,9,0,1748,1757,21,0,279
7125.63403933,9,0,1790,1799,21,0,279
7225.8306445,5,0,1828,1833,21,0,279
7325.88169822,5,0,1881,1886,21,0,279
7426.41198505,4,0,1923,1927,21,0,279
7526.84254529,4,0,1945,1949,22,0,278
7627.34806461,3,0,1987,1990,24,0,276
7727.44138894,3,0,2041,2044,24,0,276
7827.56544476,3,1,1854,1858,0,0,300
7927.95975296,3,1,1681,1685,0,0,300
8029.65217145,3,0,1511,1514,0,0,300
8129.74019839,2,0,1393,1395,3,0,297
8229.84084571,2,0,1292,1294,4,0,296
8329.93725283,2,0,1180,1182,4,0,296
8430.42273884,2,0,1101,1103,4,0,296
8532.37652208,2,0,1043,1045,4,0,296
8633.88830846,1,0,975,976,5,0,295
8734.56105642,1,0,917,918,6,0,294
8836.1255323,1,0,875,876,6,0,294
8937.29215847,1,0,858,859,8,0,292
9037.40337936,1,0,858,859,8,0,292
9138.31046422,1,0,855,856,8,0,292
9238.33309906,1,0,854,855,8,0,292
9339.46896224,1,0,859,860,11,0,289
9440.01507355,1,0,924,925,13,0,287
9540.91151406,1,0,961,962,13,0,287
9640.9173884,1,0,990,991,14,0,286
9741.13557727,1,0,1054,1055,16,0,284
9841.77606198,1,0,1109,1110,16,0,284
9941.91263308,1,0,1174,1175,16,0,284
10042.589913,1,0,1215,1216,16,0,284
10142.7808089,1,1,1164,1166,0,0,300
10243.5938369,1,1,1055,1057,0,0,300
10343.9321557,1,1,965,967,0,0,300
10444.6766794,1,1,872,874,0,0,300
10545.4972796,0,1,801,802,0,0,300
10645.9268494,0,7,722,729,1,0,299
10747.0635967,0,19,642,661,2,0,298
10848.4705745,0,37,590,627,2,0,298
10949.3534535,0,52,537,589,2,0,298
11050.4750069,0,62,469,531,3,0,297
11153.000091,0,85,422,507,4,0,296
11255.9249756,0,122,374,496,6,0,294
11356.9331202,0,168,341,509,7,0,293
11457.0430833,0,234,309,543,8,0,292
11557.8415775,0,281,278,559,8,0,292
11659.0027321,0,332,250,582,9,0,291
11759.5186979,0,408,232,640,9,0,291
11859.9266427,0,443,209,652,9,0,291
11960.2113859,0,506,193,699,11,0,289
12060.9011167,0,600,172,772,13,0,287
12160.9829623,0,645,151,796,13,0,287
12261.1908657,0,719,137,856,15,0,285
12361.8406982,0,799,120,919,17,0,283
12462.1829561,0,894,109,1003,19,0,281
12562.4193917,0,988,105,1093,21,0,279
12662.6560271,0,1111,96,1207,21,0,279
12762.8767628,0,1220,89,1309,22,0,278
12863.0359374,0,1324,84,1408,22,0,278
12963.8215798,0,1409,75,1484,22,0,278
13064.3028925,0,1474,73,1547,22,0,278
13164.4040001,0,1564,68,1632,22,0,278
13265.376974,0,1638,58,1696,22,0,278
13365.4763124,0,1687,53,1740,23,0,277
13465.5891355,0,1797,49,1846,25,0,275
13565.7309607,0,1843,43,1886,25,0,275
13665.8609712,0,1913,40,1953,25,0,275
13766.1157286,0,1968,39,2007,26,0,274
13866.1604321,0,2033,35,2068,28,0,272
13966.5090386,0,2147,31,2178,29,0,271
14066.6485152,0,2217,28,2245,29,0,271
14166.8777312,0,2290,24,2314,29,0,271
14267.0767136,0,2361,22,2383,30,0,270
14367.1305509,0,2403,19,2422,32,0,268
14467.958206,0,2450,18,2468,33,0,267
14568.0084901,0,2528,17,2545,34,0,266
14668.1095463,0,2612,15,2627,34,0,266
14768.1880575,0,2681,13,2694,35,0,265
14868.6531547,0,2777,13,2790,36,0,264
14968.9339983,0,2869,11,2880,37,0,263
15069.0181767,0,2969,9,2978,37,0,263
15169.0758422,0,3002,7,3009,37,0,263
15269.2126541,0,3119,7,3126,38,0,262
15369.2269012,0,3169,7,3176,38,0,262
15469.4253137,0,3203,6,3209,38,0,262
15569.4467307,0,3247,6,3253,38,0,262
15669.7681599,0,3307,6,3313,38,0,262
15769.7937164,0,3319,6,3325,39,0,261
15869.8418273,0,3326,5,3331,39,0,261
15970.075323,0,3384,3,3387,39,0,261
16070.1711721,0,3450,3,3453,39,0,261
16170.1971731,0,3504,3,3507,39,0,261
16270.3045697,0,3531,3,3534,40,0,260
16370.3153976,0,3585,3,3588,41,0,259
16470.5784751,0,3616,3,3619,43,0,257
16570.8580739,0,3713,3,3716,43,0,257
16671.0623713,0,3765,3,3768,43,0,257
16771.1608984,0,3847,3,3850,43,0,257
16871.6038094,0,3925,3,3928,43,0,257
16972.0134454,0,3960,3,3963,46,0,254
17072.0973407,0,3997,2,3999,47,0,253
17172.1320872,1,3848,2,3851,0,0,300
17272.7323699,1,3485,1,3487,0,0,300
17372.8236799,0,3160,1,3161,2,0,298
17472.8296299,0,2877,1,2878,3,0,297
17573.3066821,1,2596,1,2598,0,0,300
17673.6221569,1,2362,1,2364,0,0,300
17775.0155652,0,2140,1,2141,1,0,299
17875.1806453,0,1960,1,1961,2,0,298
17975.269717,0,1792,1,1793,4,0,296
18075.5157212,0,1672,1,1673,4,0,296
18175.7757478,0,1552,1,1553,6,0,294
18275.8318074,0,1478,1,1479,8,0,292
18376.0427297,0,1417,1,1418,10,0,290
18476.0735825,1,1405,0,1406,1,0,299
18576.0926792,14,1278,0,1292,2,0,298
18677.2663948,39,1148,0,1187,2,0,298
18777.3148918,52,1041,0,1093,3,0,297
18877.4361067,71,937,0,1008,4,0,296
18977.6786517,104,848,0,952,4,0,296
19077.8585154,159,768,0,927,6,0,294
19177.9798792,201,679,0,880,8,0,292
19278.0734884,245,617,0,862,8,0,292
19378.0938617,301,553,0,854,9,0,291
19478.2134075,351,501,0,852,10,0,290
19578.596284,392,454,0,846,10,0,290
19678.6323974,450,424,0,874,12,0,288
19778.7037439,516,390,0,906,12,0,288
19878.9315396,585,358,0,943,13,0,287
19979.1426365,654,333,0,987,13,0,287
20079.506791,703,302,0,1005,14,0,286
20180.3257125,778,272,0,1050,14,0,286
20280.5946739,860,242,0,1102,16,0,284
20381.275489,908,213,0,1121,16,0,284
20481.7333935,974,193,0,1167,19,0,281
20581.7799188,1060,177,0,1237,19,0,281
20681.9344736,1110,157,0,1267,19,0,281
20781.934882,1196,137,0,1333,19,0,281
20882.3525715,1257,113,0,1370,19,0,281
20982.9797929,1320,100,0,1420,20,0,280
21083.0027302,1373,96,0,1469,21,0,279
21183.292959,1455,85,0,1540,23,0,277
21283.4786162,1559,78,0,1637,25,0,275
21383.5029597,1643,71,0,1714,25,0,275
21483.7421517,1737,67,0,1804,25,0,275
21583.7563845,1826,62,0,1888,26,0,274
21684.6862395,1907,52,0,1959,26,0,274
21784.7687609,1971,44,0,2015,26,0,274
21884.8349222,1997,43,0,2040,28,0,272
21985.0676228,2105,35,0,2140,31,0,269
22085.0773137,2211,34,0,2245,32,0,268
22185.2804821,2321,34,0,2355,32,0,268
22285.357114,2418,31,0,2449,33,0,267
22385.4059174,2497,29,0,2526,34,0,266
22485.4985842,2576,27,0,2603,35,0,265
22585.5034551,2701,25,0,2726,36,0,264
22685.5674075,2809,25,0,2834,38,0,262
22785.5730421,2864,22,0,2886,38,0,262
22885.599896,2973,22,0,2995,38,0,262
22985.8117313,3038,21,0,3059,38,0,262
23085.9136702,3118,21,0,3139,38,0,262
23185.9230768,3184,19,0,3203,38,0,262
23285.9905943,3220,16,0,3236,38,0,262
23385.9951912,3288,14,0,3302,40,0,260
23486.2118526,3318,10,0,3328,40,0,260
23586.2899789,3393,9,0,3402,40,0,260
23686.3192503,3460,9,0,3469,40,0,260
23786.4334146,3538,9,0,3547,41,0,259
23886.8944966,3564,8,0,3572,41,0,259
23987.1293493,3583,6,0,3589,41,0,259
24087.186757,3684,6,0,3690,43,0,257
24187.2442709,3685,5,0,3690,43,0,257
24287.3050102,3810,4,0,3814,43,0,257
24387.6787397,3850,4,0,3854,43,0,257
24487.7380397,3906,4,0,3910,43,0,257
