Time, H, H_Bound
6.0e-6, 53, 47
1.2e-5, 30, 70
1.8e-5, 22, 78
2.4e-5, 19, 81
3.0e-5, 17, 83
3.6e-5, 17, 83
4.2000000000000004e-5, 17, 83
4.8e-5, 16, 84
5.4e-5, 13, 87
5.9999999999999995e-5, 13, 87
6.599999999999999e-5, 12, 88
7.199999999999999e-5, 11, 89
7.799999999999999e-5, 11, 89
8.399999999999998e-5, 11, 89
8.999999999999998e-5, 11, 89
9.599999999999998e-5, 12, 88
1.0199999999999997e-4, 12, 88
1.0799999999999997e-4, 11, 89
1.1399999999999997e-4, 9, 91
1.1999999999999996e-4, 7, 93
1.2599999999999997e-4, 7, 93
1.3199999999999998e-4, 6, 94
1.38e-4, 6, 94
1.44e-4, 6, 94
1.5000000000000001e-4, 6, 94
1.5600000000000002e-4, 6, 94
1.6200000000000003e-4, 6, 94
1.6800000000000004e-4, 6, 94
1.7400000000000006e-4, 5, 95
1.8000000000000007e-4, 7, 93
1.8600000000000008e-4, 8, 92
1.9200000000000009e-4, 8, 92
1.980000000000001e-4, 8, 92
2.040000000000001e-4, 8, 92
2.1000000000000012e-4, 10, 90
2.1600000000000013e-4, 10, 90
2.2200000000000014e-4, 10, 90
2.2800000000000015e-4, 10, 90
2.3400000000000016e-4, 10, 90
2.4000000000000017e-4, 10, 90
2.460000000000002e-4, 10, 90
2.5200000000000016e-4, 10, 90
2.5800000000000015e-4, 10, 90
2.6400000000000013e-4, 10, 90
2.700000000000001e-4, 10, 90
2.760000000000001e-4, 10, 90
2.820000000000001e-4, 10, 90
2.8800000000000006e-4, 10, 90
2.9400000000000004e-4, 9, 91
3.0000000000000003e-4, 9, 91
3.06e-4, 9, 91
3.12e-4, 9, 91
3.18e-4, 9, 91
3.2399999999999996e-4, 9, 91
3.2999999999999994e-4, 9, 91
3.3599999999999993e-4, 9, 91
3.419999999999999e-4, 9, 91
3.479999999999999e-4, 9, 91
3.539999999999999e-4, 9, 91
3.5999999999999986e-4, 9, 91
3.6599999999999984e-4, 9, 91
3.719999999999998e-4, 9, 91
3.779999999999998e-4, 9, 91
3.839999999999998e-4, 9, 91
3.899999999999998e-4, 9, 91
3.9599999999999976e-4, 9, 91
4.0199999999999974e-4, 9, 91
4.079999999999997e-4, 8, 92
4.139999999999997e-4, 7, 93
4.199999999999997e-4, 7, 93
4.259999999999997e-4, 7, 93
4.3199999999999966e-4, 7, 93
4.3799999999999964e-4, 7, 93
4.439999999999996e-4, 7, 93
4.499999999999996e-4, 7, 93
4.559999999999996e-4, 7, 93
4.619999999999996e-4, 7, 93
4.6799999999999956e-4, 7, 93
4.7399999999999954e-4, 7, 93
4.799999999999995e-4, 7, 93
4.859999999999995e-4, 7, 93
4.919999999999995e-4, 7, 93
4.979999999999995e-4, 7, 93
5.039999999999996e-4, 6, 94
5.099999999999996e-4, 6, 94
5.159999999999996e-4, 5, 95
5.219999999999997e-4, 5, 95
5.279999999999997e-4, 5, 95
5.339999999999998e-4, 5, 95
5.399999999999998e-4, 5, 95
5.459999999999998e-4, 5, 95
5.519999999999999e-4, 5, 95
5.579999999999999e-4, 5, 95
5.639999999999999e-4, 5, 95
5.7e-4, 5, 95
5.76e-4, 4, 96
5.82e-4, 4, 96
5.880000000000001e-4, 3, 97
5.940000000000001e-4, 4, 96
6.000000000000002e-4, 4, 96
6.060000000000002e-4, 4, 96
6.120000000000002e-4, 4, 96
6.180000000000003e-4, 4, 96
6.240000000000003e-4, 4, 96
6.300000000000004e-4, 4, 96
6.360000000000004e-4, 4, 96
6.420000000000004e-4, 4, 96
6.480000000000005e-4, 4, 96
6.540000000000005e-4, 5, 95
6.600000000000005e-4, 5, 95
6.660000000000006e-4, 5, 95
6.720000000000006e-4, 5, 95
6.780000000000007e-4, 5, 95
6.840000000000007e-4, 5, 95
6.900000000000007e-4, 5, 95
6.960000000000008e-4, 5, 95
7.020000000000008e-4, 5, 95
7.080000000000008e-4, 6, 94
7.140000000000009e-4, 6, 94
7.200000000000009e-4, 6, 94
7.26000000000001e-4, 6, 94
7.32000000000001e-4, 6, 94
7.38000000000001e-4, 6, 94
7.440000000000011e-4, 6, 94
7.500000000000011e-4, 6, 94
7.560000000000011e-4, 6, 94
7.620000000000012e-4, 6, 94
7.680000000000012e-4, 6, 94
7.740000000000012e-4, 6, 94
7.800000000000013e-4, 6, 94
7.860000000000013e-4, 6, 94
7.920000000000014e-4, 6, 94
7.980000000000014e-4, 6, 94
8.040000000000014e-4, 6, 94
8.100000000000015e-4, 6, 94
8.160000000000015e-4, 6, 94
8.220000000000015e-4, 6, 94
8.280000000000016e-4, 6, 94
8.340000000000016e-4, 6, 94
8.400000000000017e-4, 6, 94
8.460000000000017e-4, 6, 94
8.520000000000017e-4, 6, 94
8.580000000000018e-4, 6, 94
8.640000000000018e-4, 6, 94
8.700000000000018e-4, 6, 94
8.760000000000019e-4, 6, 94
8.820000000000019e-4, 6, 94
8.88000000000002e-4, 6, 94
8.94000000000002e-4, 6, 94
9.00000000000002e-4, 6, 94
9.060000000000021e-4, 6, 94
9.120000000000021e-4, 6, 94
9.180000000000021e-4, 6, 94
9.240000000000022e-4, 6, 94
9.300000000000022e-4, 6, 94
9.360000000000023e-4, 6, 94
9.420000000000023e-4, 6, 94
9.480000000000023e-4, 6, 94
9.540000000000024e-4, 6, 94
9.600000000000024e-4, 6, 94
9.660000000000024e-4, 6, 94
9.720000000000025e-4, 6, 94
9.780000000000025e-4, 6, 94
9.840000000000025e-4, 6, 94
9.900000000000024e-4, 6, 94
9.960000000000023e-4, 6, 94
1.0020000000000022e-3, 6, 94
1.0080000000000022e-3, 6, 94
1.014000000000002e-3, 6, 94
1.020000000000002e-3, 6, 94
1.026000000000002e-3, 6, 94
1.0320000000000019e-3, 6, 94
1.0380000000000018e-3, 6, 94
1.0440000000000017e-3, 6, 94
1.0500000000000017e-3, 6, 94
1.0560000000000016e-3, 6, 94
1.0620000000000015e-3, 6, 94
1.0680000000000015e-3, 6, 94
1.0740000000000014e-3, 6, 94
1.0800000000000013e-3, 6, 94
1.0860000000000012e-3, 6, 94
1.0920000000000012e-3, 6, 94
1.098000000000001e-3, 6, 94
1.104000000000001e-3, 6, 94
1.110000000000001e-3, 6, 94
1.1160000000000009e-3, 6, 94
1.1220000000000008e-3, 6, 94
1.1280000000000007e-3, 6, 94
1.1340000000000007e-3, 6, 94
1.1400000000000006e-3, 6, 94
1.1460000000000005e-3, 6, 94
1.1520000000000005e-3, 6, 94
1.1580000000000004e-3, 6, 94
1.1640000000000003e-3, 6, 94
1.1700000000000002e-3, 6, 94
1.1760000000000002e-3, 6, 94
1.182e-3, 6, 94
1.188e-3, 6, 94
1.194e-3, 6, 94
1.2e-3, 6, 94
1.2059999999999998e-3, 6, 94
1.2119999999999998e-3, 6, 94
1.2179999999999997e-3, 6, 94
1.2239999999999996e-3, 6, 94
1.2299999999999995e-3, 7, 93
1.2359999999999995e-3, 7, 93
1.2419999999999994e-3, 7, 93
1.2479999999999993e-3, 7, 93
1.2539999999999993e-3, 7, 93
1.2599999999999992e-3, 7, 93
1.2659999999999991e-3, 8, 92
1.271999999999999e-3, 8, 92
1.277999999999999e-3, 8, 92
1.283999999999999e-3, 8, 92
1.2899999999999988e-3, 8, 92
1.2959999999999988e-3, 8, 92
1.3019999999999987e-3, 8, 92
1.3079999999999986e-3, 8, 92
1.3139999999999985e-3, 8, 92
1.3199999999999985e-3, 8, 92
1.3259999999999984e-3, 8, 92
1.3319999999999983e-3, 8, 92
1.3379999999999983e-3, 8, 92
1.3439999999999982e-3, 8, 92
1.3499999999999981e-3, 8, 92
1.355999999999998e-3, 8, 92
1.361999999999998e-3, 8, 92
1.367999999999998e-3, 8, 92
1.3739999999999978e-3, 8, 92
1.3799999999999978e-3, 8, 92
1.3859999999999977e-3, 8, 92
1.3919999999999976e-3, 8, 92
1.3979999999999976e-3, 8, 92
1.4039999999999975e-3, 8, 92
1.4099999999999974e-3, 8, 92
