Time, Cl, Na_plus, K_plus
3.0e-4, 19, 60, 21
6.0e-4, 17, 61, 22
9.0e-4, 16, 64, 20
1.2e-3, 28, 58, 14
1.4999999999999998e-3, 29, 53, 18
1.7999999999999997e-3, 23, 60, 17
2.1e-3, 23, 53, 24
2.4e-3, 23, 57, 20
2.6999999999999997e-3, 26, 57, 17
2.9999999999999996e-3, 19, 58, 23
3.2999999999999995e-3, 23, 56, 21
3.5999999999999995e-3, 18, 59, 23
3.8999999999999994e-3, 17, 59, 24
4.2e-3, 16, 61, 23
4.5e-3, 19, 61, 20
4.8e-3, 17, 64, 19
5.0999999999999995e-3, 16, 64, 20
5.399999999999999e-3, 14, 60, 26
5.699999999999999e-3, 17, 63, 20
5.999999999999999e-3, 16, 56, 28
6.299999999999999e-3, 14, 63, 23
6.599999999999999e-3, 18, 62, 20
6.899999999999999e-3, 16, 62, 22
7.199999999999999e-3, 17, 62, 21
7.499999999999999e-3, 14, 60, 26
7.799999999999999e-3, 17, 61, 22
8.1e-3, 13, 64, 23
8.4e-3, 20, 57, 23
8.7e-3, 19, 53, 28
9.0e-3, 19, 60, 21
9.3e-3, 20, 54, 26
9.6e-3, 19, 52, 29
9.899999999999999e-3, 24, 55, 21
1.0199999999999999e-2, 17, 67, 16
1.0499999999999999e-2, 17, 63, 20
1.0799999999999999e-2, 13, 69, 18
1.1099999999999999e-2, 15, 65, 20
1.1399999999999999e-2, 13, 65, 22
1.1699999999999999e-2, 15, 60, 25
1.1999999999999999e-2, 18, 66, 16
1.2299999999999998e-2, 21, 61, 18
1.2599999999999998e-2, 16, 65, 19
1.2899999999999998e-2, 18, 62, 20
1.3199999999999998e-2, 16, 67, 17
1.3499999999999998e-2, 10, 65, 25
1.3799999999999998e-2, 11, 65, 24
1.4099999999999998e-2, 19, 62, 19
1.4399999999999998e-2, 13, 63, 24
1.4699999999999998e-2, 20, 64, 16
1.4999999999999998e-2, 14, 64, 22
1.5299999999999998e-2, 16, 63, 21
1.5599999999999998e-2, 14, 62, 24
1.5899999999999997e-2, 20, 63, 17
1.62e-2, 18, 63, 19
1.65e-2, 20, 66, 14
1.6800000000000002e-2, 21, 61, 18
1.7100000000000004e-2, 18, 60, 22
1.7400000000000006e-2, 13, 62, 25
1.7700000000000007e-2, 18, 61, 21
1.800000000000001e-2, 18, 60, 22
1.830000000000001e-2, 19, 65, 16
1.8600000000000012e-2, 20, 65, 15
1.8900000000000014e-2, 20, 67, 13
1.9200000000000016e-2, 20, 59, 21
1.9500000000000017e-2, 16, 67, 17
1.980000000000002e-2, 22, 57, 21
2.010000000000002e-2, 18, 61, 21
2.0400000000000022e-2, 17, 59, 24
2.0700000000000024e-2, 16, 64, 20
2.1000000000000026e-2, 13, 65, 22
2.1300000000000027e-2, 17, 66, 17
2.160000000000003e-2, 14, 66, 20
2.190000000000003e-2, 15, 67, 18
2.2200000000000032e-2, 17, 68, 15
2.2500000000000034e-2, 21, 60, 19
2.2800000000000036e-2, 20, 66, 14
2.3100000000000037e-2, 15, 67, 18
2.340000000000004e-2, 17, 65, 18
2.370000000000004e-2, 16, 63, 21
2.4000000000000042e-2, 18, 67, 15
2.4300000000000044e-2, 16, 65, 19
2.4600000000000045e-2, 16, 60, 24
2.4900000000000047e-2, 17, 67, 16
2.520000000000005e-2, 19, 61, 20
2.550000000000005e-2, 18, 64, 18
2.5800000000000052e-2, 19, 58, 23
2.6100000000000054e-2, 21, 58, 21
2.6400000000000055e-2, 20, 67, 13
2.6700000000000057e-2, 18, 61, 21
2.700000000000006e-2, 17, 58, 25
2.730000000000006e-2, 21, 61, 18
2.7600000000000062e-2, 16, 67, 17
2.7900000000000064e-2, 21, 61, 18
2.8200000000000065e-2, 17, 65, 18
2.8500000000000067e-2, 17, 60, 23
2.880000000000007e-2, 15, 60, 25
2.910000000000007e-2, 16, 56, 28
2.9400000000000072e-2, 16, 59, 25
2.9700000000000074e-2, 21, 59, 20
3.0000000000000075e-2, 15, 61, 24
