Time, Na, Na_plus
2.9999999999999997e-5, 27, 73
5.9999999999999995e-5, 21, 79
8.999999999999999e-5, 28, 72
1.1999999999999999e-4, 30, 70
1.5e-4, 23, 77
1.7999999999999998e-4, 28, 72
2.0999999999999998e-4, 32, 68
2.3999999999999998e-4, 29, 71
2.6999999999999995e-4, 24, 76
2.999999999999999e-4, 28, 72
3.299999999999999e-4, 23, 77
3.5999999999999986e-4, 25, 75
3.8999999999999983e-4, 25, 75
4.199999999999998e-4, 23, 77
4.4999999999999977e-4, 26, 74
4.7999999999999974e-4, 28, 72
5.099999999999997e-4, 28, 72
5.399999999999997e-4, 27, 73
5.699999999999997e-4, 24, 76
5.999999999999996e-4, 22, 78
6.299999999999996e-4, 25, 75
6.599999999999996e-4, 25, 75
6.899999999999995e-4, 26, 74
7.199999999999995e-4, 27, 73
7.499999999999995e-4, 28, 72
7.799999999999994e-4, 29, 71
8.099999999999994e-4, 29, 71
8.399999999999994e-4, 33, 67
8.699999999999994e-4, 31, 69
8.999999999999993e-4, 31, 69
9.299999999999993e-4, 30, 70
9.599999999999993e-4, 32, 68
9.899999999999993e-4, 30, 70
1.0199999999999994e-3, 25, 75
1.0499999999999995e-3, 24, 76
1.0799999999999996e-3, 23, 77
1.1099999999999997e-3, 22, 78
1.1399999999999997e-3, 23, 77
1.1699999999999998e-3, 30, 70
1.2e-3, 25, 75
1.23e-3, 25, 75
1.26e-3, 25, 75
1.2900000000000001e-3, 20, 80
1.3200000000000002e-3, 24, 76
1.3500000000000003e-3, 23, 77
1.3800000000000004e-3, 25, 75
1.4100000000000004e-3, 29, 71
1.4400000000000005e-3, 27, 73
1.4700000000000006e-3, 26, 74
1.5000000000000007e-3, 24, 76
1.5300000000000008e-3, 30, 70
1.5600000000000008e-3, 32, 68
1.590000000000001e-3, 27, 73
1.620000000000001e-3, 34, 66
1.650000000000001e-3, 27, 73
1.6800000000000012e-3, 27, 73
1.7100000000000012e-3, 25, 75
1.7400000000000013e-3, 25, 75
1.7700000000000014e-3, 25, 75
1.8000000000000015e-3, 25, 75
1.8300000000000015e-3, 26, 74
1.8600000000000016e-3, 26, 74
1.8900000000000017e-3, 26, 74
1.9200000000000018e-3, 29, 71
1.9500000000000019e-3, 30, 70
1.9800000000000017e-3, 29, 71
2.010000000000002e-3, 30, 70
2.040000000000002e-3, 30, 70
2.070000000000002e-3, 29, 71
2.100000000000002e-3, 25, 75
2.130000000000002e-3, 24, 76
2.160000000000002e-3, 26, 74
2.1900000000000023e-3, 25, 75
2.2200000000000024e-3, 25, 75
2.2500000000000024e-3, 22, 78
2.2800000000000025e-3, 25, 75
2.3100000000000026e-3, 23, 77
2.3400000000000027e-3, 21, 79
2.3700000000000027e-3, 22, 78
2.400000000000003e-3, 27, 73
2.430000000000003e-3, 27, 73
2.460000000000003e-3, 24, 76
2.490000000000003e-3, 23, 77
2.520000000000003e-3, 21, 79
2.5500000000000032e-3, 23, 77
2.5800000000000033e-3, 27, 73
2.6100000000000034e-3, 27, 73
2.6400000000000035e-3, 31, 69
2.6700000000000035e-3, 28, 72
2.7000000000000036e-3, 30, 70
2.7300000000000037e-3, 28, 72
2.7600000000000038e-3, 27, 73
2.790000000000004e-3, 25, 75
2.820000000000004e-3, 19, 81
2.850000000000004e-3, 25, 75
2.880000000000004e-3, 28, 72
2.910000000000004e-3, 27, 73
2.9400000000000042e-3, 24, 76
2.9700000000000043e-3, 23, 77
3.0000000000000044e-3, 22, 78
3.0300000000000045e-3, 25, 75
3.0600000000000046e-3, 23, 77
3.0900000000000046e-3, 24, 76
3.1200000000000047e-3, 25, 75
3.150000000000005e-3, 23, 77
3.180000000000005e-3, 26, 74
3.210000000000005e-3, 25, 75
3.240000000000005e-3, 25, 75
3.270000000000005e-3, 28, 72
3.300000000000005e-3, 21, 79
3.3300000000000053e-3, 21, 79
3.3600000000000053e-3, 22, 78
3.3900000000000054e-3, 22, 78
3.4200000000000055e-3, 21, 79
3.4500000000000056e-3, 20, 80
3.4800000000000057e-3, 24, 76
3.5100000000000057e-3, 25, 75
3.540000000000006e-3, 24, 76
3.570000000000006e-3, 24, 76
3.600000000000006e-3, 22, 78
3.630000000000006e-3, 19, 81
3.660000000000006e-3, 22, 78
3.690000000000006e-3, 20, 80
3.7200000000000063e-3, 25, 75
3.7500000000000064e-3, 23, 77
3.7800000000000064e-3, 26, 74
3.8100000000000065e-3, 23, 77
3.8400000000000066e-3, 22, 78
3.8700000000000067e-3, 18, 82
3.9000000000000068e-3, 18, 82
3.930000000000006e-3, 17, 83
3.960000000000006e-3, 21, 79
3.990000000000006e-3, 21, 79
4.020000000000005e-3, 24, 76
4.050000000000005e-3, 27, 73
4.080000000000005e-3, 28, 72
4.110000000000004e-3, 26, 74
4.140000000000004e-3, 28, 72
4.1700000000000036e-3, 24, 76
4.200000000000003e-3, 22, 78
4.230000000000003e-3, 20, 80
4.2600000000000025e-3, 22, 78
4.290000000000002e-3, 23, 77
4.320000000000002e-3, 22, 78
4.3500000000000014e-3, 22, 78
4.380000000000001e-3, 18, 82
4.410000000000001e-3, 22, 78
4.44e-3, 22, 78
4.47e-3, 22, 78
4.5e-3, 20, 80
4.529999999999999e-3, 16, 84
4.559999999999999e-3, 19, 81
4.589999999999999e-3, 23, 77
4.619999999999998e-3, 20, 80
4.649999999999998e-3, 22, 78
4.6799999999999975e-3, 19, 81
4.709999999999997e-3, 20, 80
4.739999999999997e-3, 23, 77
4.7699999999999965e-3, 22, 78
4.799999999999996e-3, 23, 77
4.829999999999996e-3, 25, 75
4.859999999999995e-3, 24, 76
4.889999999999995e-3, 28, 72
4.919999999999995e-3, 19, 81
4.949999999999994e-3, 19, 81
4.979999999999994e-3, 21, 79
5.009999999999994e-3, 22, 78
5.039999999999993e-3, 20, 80
5.069999999999993e-3, 23, 77
5.0999999999999926e-3, 21, 79
5.129999999999992e-3, 23, 77
5.159999999999992e-3, 27, 73
5.1899999999999915e-3, 30, 70
5.219999999999991e-3, 24, 76
5.249999999999991e-3, 27, 73
5.27999999999999e-3, 25, 75
5.30999999999999e-3, 29, 71
5.33999999999999e-3, 34, 66
5.369999999999989e-3, 29, 71
5.399999999999989e-3, 23, 77
5.429999999999989e-3, 27, 73
5.459999999999988e-3, 27, 73
5.489999999999988e-3, 26, 74
5.519999999999988e-3, 25, 75
5.549999999999987e-3, 23, 77
5.579999999999987e-3, 27, 73
5.6099999999999865e-3, 26, 74
5.639999999999986e-3, 28, 72
5.669999999999986e-3, 30, 70
5.6999999999999855e-3, 31, 69
5.729999999999985e-3, 27, 73
5.759999999999985e-3, 25, 75
5.789999999999984e-3, 29, 71
5.819999999999984e-3, 29, 71
5.849999999999984e-3, 28, 72
5.879999999999983e-3, 28, 72
5.909999999999983e-3, 28, 72
5.939999999999983e-3, 29, 71
5.969999999999982e-3, 26, 74
5.999999999999982e-3, 28, 72
6.0299999999999816e-3, 28, 72
6.059999999999981e-3, 31, 69
6.089999999999981e-3, 25, 75
6.1199999999999805e-3, 28, 72
6.14999999999998e-3, 26, 74
6.17999999999998e-3, 25, 75
6.209999999999979e-3, 25, 75
6.239999999999979e-3, 24, 76
6.269999999999979e-3, 21, 79
6.299999999999978e-3, 23, 77
6.329999999999978e-3, 27, 73
6.359999999999978e-3, 24, 76
6.389999999999977e-3, 23, 77
6.419999999999977e-3, 25, 75
6.449999999999977e-3, 23, 77
6.479999999999976e-3, 25, 75
6.509999999999976e-3, 25, 75
6.5399999999999755e-3, 20, 80
6.569999999999975e-3, 23, 77
6.599999999999975e-3, 22, 78
6.6299999999999745e-3, 23, 77
6.659999999999974e-3, 24, 76
6.689999999999974e-3, 25, 75
6.719999999999973e-3, 27, 73
6.749999999999973e-3, 25, 75
6.779999999999973e-3, 20, 80
6.809999999999972e-3, 18, 82
6.839999999999972e-3, 21, 79
6.869999999999972e-3, 23, 77
6.899999999999971e-3, 25, 75
6.929999999999971e-3, 23, 77
6.9599999999999706e-3, 25, 75
6.98999999999997e-3, 28, 72
7.01999999999997e-3, 23, 77
7.0499999999999695e-3, 28, 72
7.079999999999969e-3, 25, 75
7.109999999999969e-3, 23, 77
7.139999999999968e-3, 24, 76
7.169999999999968e-3, 23, 77
7.199999999999968e-3, 23, 77
7.229999999999967e-3, 19, 81
7.259999999999967e-3, 19, 81
7.289999999999967e-3, 20, 80
