Time, NH2, NHCO
5.0e-4, 23, 77
1.0e-3, 24, 76
1.5e-3, 25, 75
2.0e-3, 30, 70
2.5e-3, 26, 74
3.0e-3, 30, 70
3.5e-3, 32, 68
4.0e-3, 29, 71
4.5000000000000005e-3, 26, 74
5.000000000000001e-3, 27, 73
5.500000000000001e-3, 34, 66
6.000000000000002e-3, 29, 71
6.500000000000002e-3, 31, 69
7.000000000000003e-3, 33, 67
7.500000000000003e-3, 28, 72
8.000000000000004e-3, 29, 71
8.500000000000004e-3, 22, 78
9.000000000000005e-3, 28, 72
9.500000000000005e-3, 31, 69
1.0000000000000005e-2, 28, 72
1.0500000000000006e-2, 25, 75
1.1000000000000006e-2, 24, 76
1.1500000000000007e-2, 22, 78
1.2000000000000007e-2, 24, 76
1.2500000000000008e-2, 26, 74
1.3000000000000008e-2, 25, 75
1.3500000000000009e-2, 25, 75
1.4000000000000009e-2, 28, 72
1.450000000000001e-2, 25, 75
1.500000000000001e-2, 27, 73
1.550000000000001e-2, 31, 69
1.600000000000001e-2, 28, 72
1.650000000000001e-2, 30, 70
1.700000000000001e-2, 30, 70
1.7500000000000012e-2, 30, 70
1.8000000000000013e-2, 29, 71
1.8500000000000013e-2, 29, 71
1.9000000000000013e-2, 32, 68
1.9500000000000014e-2, 28, 72
2.0000000000000014e-2, 29, 71
2.0500000000000015e-2, 31, 69
2.1000000000000015e-2, 27, 73
2.1500000000000016e-2, 31, 69
2.2000000000000016e-2, 32, 68
2.2500000000000017e-2, 27, 73
2.3000000000000017e-2, 30, 70
2.3500000000000017e-2, 27, 73
2.4000000000000018e-2, 28, 72
2.450000000000002e-2, 29, 71
2.500000000000002e-2, 31, 69
2.550000000000002e-2, 30, 70
2.600000000000002e-2, 27, 73
2.650000000000002e-2, 27, 73
2.700000000000002e-2, 27, 73
2.750000000000002e-2, 25, 75
2.800000000000002e-2, 29, 71
2.8500000000000022e-2, 33, 67
2.9000000000000022e-2, 28, 72
2.9500000000000023e-2, 23, 77
3.0000000000000023e-2, 28, 72
3.0500000000000024e-2, 29, 71
3.1000000000000024e-2, 25, 75
3.150000000000002e-2, 27, 73
3.200000000000002e-2, 29, 71
3.250000000000002e-2, 28, 72
3.300000000000002e-2, 26, 74
3.350000000000002e-2, 29, 71
3.400000000000002e-2, 23, 77
3.4500000000000024e-2, 24, 76
3.5000000000000024e-2, 25, 75
3.5500000000000025e-2, 24, 76
3.6000000000000025e-2, 24, 76
3.6500000000000025e-2, 27, 73
3.7000000000000026e-2, 28, 72
3.7500000000000026e-2, 30, 70
3.800000000000003e-2, 28, 72
3.850000000000003e-2, 26, 74
3.900000000000003e-2, 25, 75
3.950000000000003e-2, 24, 76
4.000000000000003e-2, 26, 74
4.050000000000003e-2, 25, 75
4.100000000000003e-2, 24, 76
4.150000000000003e-2, 28, 72
4.200000000000003e-2, 28, 72
4.250000000000003e-2, 27, 73
4.300000000000003e-2, 27, 73
4.350000000000003e-2, 28, 72
4.400000000000003e-2, 29, 71
4.450000000000003e-2, 24, 76
4.500000000000003e-2, 25, 75
4.5500000000000033e-2, 25, 75
4.6000000000000034e-2, 28, 72
4.6500000000000034e-2, 28, 72
4.7000000000000035e-2, 30, 70
4.7500000000000035e-2, 32, 68
4.8000000000000036e-2, 29, 71
4.8500000000000036e-2, 25, 75
4.900000000000004e-2, 19, 81
4.950000000000004e-2, 18, 82
5.000000000000004e-2, 23, 77
