Time,X(),Y2(),Y1()
0,99974,1000,996
0.003541213,99936,996,996
0.00708474,99901,1000,987
0.010593514,99859,1000,985
0.014096108,99831,1000,981
0.017605309,99801,1007,974
0.021185442,99764,1008,980
0.024715203,99733,1006,975
0.028328812,99688,1003,988
0.031872797,99646,997,996
0.03539401,99615,1003,985
0.038899849,99582,990,988
0.042409896,99550,993,986
0.045996298,99516,994,987
0.049536167,99475,1002,984
0.05304332,99439,1001,981
0.056576526,99409,996,985
0.060081556,99370,991,994
0.063655292,99332,994,999
0.067174994,99295,1000,1007
0.070676563,99245,1000,1018
0.074211073,99201,990,1029
0.077711925,99167,986,1035
0.081216994,99130,992,1033
0.084732197,99101,1000,1023
0.088336037,99064,1003,1027
0.091861315,99027,1009,1029
0.095392493,98995,1004,1026
0.098975116,98954,1008,1029
0.102612478,98908,1012,1031
0.106130665,98865,1020,1039
0.109645077,98831,1021,1030
0.113153379,98802,1023,1024
0.116671912,98772,1033,1004
0.120192425,98739,1043,995
0.123716474,98697,1046,992
0.12722207,98661,1033,1005
0.130773283,98614,1025,1025
0.134288039,98583,1016,1021
0.137799485,98541,1028,1021
0.141326675,98509,1033,1009
0.144859728,98464,1042,1016
0.148370106,98418,1040,1023
0.151909933,98383,1032,1025
0.155425134,98348,1031,1024
0.158947728,98308,1031,1035
0.162512528,98275,1037,1030
0.166053808,98232,1045,1033
0.169578923,98194,1048,1021
0.173098906,98157,1051,1018
0.176613938,98128,1052,1006
0.180123416,98091,1043,1018
0.183627878,98051,1043,1021
0.187135747,98022,1046,1014
0.190678555,97984,1044,1010
0.194199265,97951,1044,1012
0.197708036,97922,1042,1006
0.201228545,97891,1039,1003
0.20474439,97855,1027,1009
0.20833689,97808,1016,1029
0.211839013,97767,1015,1038
0.215363021,97732,1012,1037
0.21890871,97700,1016,1034
0.222434051,97670,1013,1034
0.225990206,97629,1030,1035
0.229504665,97597,1018,1037
0.233008474,97568,1015,1028
0.236569506,97524,1024,1029
0.240103901,97495,1025,1017
0.243613778,97454,1020,1021
0.247124723,97408,1040,1014
0.250633701,97379,1029,1015
0.254155884,97338,1035,1011
0.257693606,97302,1044,999
0.261194332,97266,1035,996
0.264762529,97231,1024,1004
0.268279967,97201,1014,1000
0.271782175,97171,1009,997
0.275290888,97133,1011,996
0.278800008,97103,1015,989
0.282314693,97080,1020,973
0.285826291,97052,1019,964
0.289382872,97030,1007,954
0.29295349,96988,1009,966
0.296467069,96959,1001,964
0.299970092,96933,998,957
0.303472659,96898,997,959
0.30710039,96867,981,961
0.310659767,96828,980,968
0.314234754,96793,983,970
0.317745131,96772,972,958
0.321386225,96742,962,961
0.324900028,96717,956,956
0.328457877,96690,961,949
0.331988692,96662,965,942
0.335510812,96634,976,937
0.339029352,96610,976,926
0.342555513,96570,976,930
0.346123691,96536,983,926
0.349652876,96507,966,934
0.353158516,96482,959,935
0.35669065,96442,946,950
0.360191005,96410,945,945
0.363726985,96379,942,948
0.367231991,96352,936,944
0.370734529,96313,940,941
0.374396998,96282,934,939
0.377899747,96257,948,920
0.381432827,96224,936,932
0.385055136,96185,929,945
0.388563883,96153,949,926
0.392150165,96117,940,929
0.395899439,96077,941,941
0.399403266,96053,921,943
0.402921977,96022,915,945
0.406441891,95985,916,951
0.410018884,95945,916,960
0.41357242,95913,917,960
0.417105536,95891,909,952
0.420653267,95862,901,957
0.424281444,95830,899,960
0.427826374,95803,897,948
0.431346515,95780,886,941
0.434911436,95738,886,958
0.43841328,95711,882,962
0.442002667,95670,872,980
0.445523388,95645,882,968
0.449041808,95607,880,980
0.452556485,95571,888,987
0.456088902,95538,891,993
0.459592998,95498,894,998
0.463135085,95461,893,1008
0.466645883,95427,891,1007
0.47017842,95382,906,1013
0.473710404,95343,928,1003
0.477271267,95306,929,1009
0.480776897,95278,929,1003
0.484279043,95240,924,1015
0.487829874,95215,915,1015
0.49133255,95189,910,1020
0.494861424,95156,887,1029
0.498397671,95122,892,1027
0.501947316,95093,893,1025
0.505519273,95048,896,1033
0.509025701,95008,898,1040
0.512536096,94966,908,1047
0.516038365,94934,903,1051
0.519565631,94896,902,1058
0.523099321,94865,887,1067
0.526626829,94831,899,1069
0.530167624,94796,901,1070
0.533692467,94761,900,1071
0.537335161,94734,895,1064
0.54085078,94700,901,1059
0.544368169,94666,910,1053
0.547869026,94623,917,1051
0.551463872,94591,929,1040
0.55501789,94557,925,1043
0.558524926,94526,917,1046
0.562063011,94485,922,1050
0.565568249,94455,921,1043
0.569171928,94420,916,1044
0.572674308,94380,915,1051
0.57624836,94346,909,1060
0.579757645,94314,909,1061
0.583262728,94278,912,1064
0.586772349,94246,909,1069
0.590277662,94214,915,1073
0.593784779,94181,918,1070
0.597300109,94150,926,1063
0.600828538,94120,933,1061
0.604349556,94084,938,1059
0.607879755,94050,950,1053
0.611410949,94024,938,1054
0.614966744,93992,937,1062
0.618516764,93950,927,1078
0.622064044,93915,922,1080
0.62557009,93886,929,1072
0.629118513,93853,918,1076
0.632664932,93814,922,1071
0.636197474,93789,921,1062
0.639736992,93746,926,1067
0.643283521,93710,912,1082
0.646784676,93680,918,1073
0.650299051,93648,904,1077
0.65379918,93615,920,1072
0.657300147,93577,926,1069
0.66083947,93549,922,1064
0.664343079,93506,926,1065
0.667856376,93472,927,1067
0.671443448,93435,931,1074
0.674952616,93393,934,1081
0.67848239,93363,938,1075
0.682001331,93331,937,1076
0.685571799,93296,951,1072
0.689109211,93262,946,1068
0.692701567,93231,947,1066
0.696243711,93199,957,1062
0.699786134,93167,960,1060
0.703316573,93136,971,1052
0.706882518,93113,983,1039
0.710399001,93083,986,1037
0.713930084,93056,975,1030
0.717443029,93014,985,1029
0.720962363,92975,982,1035
0.724494338,92935,989,1033
0.728012555,92904,984,1026
0.731538872,92870,980,1037
0.73505356,92828,983,1045
0.738628572,92794,975,1055
0.742186669,92755,985,1050
0.745772333,92728,999,1042
0.749360058,92703,996,1030
0.752875255,92665,1001,1035
0.75642459,92639,1000,1024
0.760079976,92614,1003,1012
0.763588165,92570,1001,1025
0.767132664,92519,988,1046
0.770726885,92490,998,1038
0.774231014,92456,992,1038
0.777798864,92420,984,1046
0.781305704,92383,991,1050
0.784888115,92343,995,1044
0.788454704,92294,1001,1052
0.791987583,92262,994,1048
0.795598261,92226,1001,1039
0.799098689,92183,996,1047
0.802645614,92149,1008,1045
0.806147882,92123,994,1042
0.809677937,92090,1010,1029
0.813186752,92054,1009,1027
0.81669391,92015,998,1032
